date,Temp_max,Temp_min,Temp_mean,Temp_departure,HDD,CDD,Precipitation
1/1/2000,72,50,61,9,4,0,0
1/2/2000,81,59,70,18.1,0,5,0
1/3/2000,75,62,68.5,16.7,0,4,0.96
1/4/2000,62,34,48,-3.8,17,0,0
1/5/2000,54,29,41.5,-10.2,23,0,0
1/6/2000,64,27,45.5,-6.2,19,0,0
1/7/2000,67,41,54,2.4,11,0,0
1/8/2000,72,51,61.5,9.9,3,0,0.02
1/9/2000,71,64,67.5,15.9,0,3,0.66
1/10/2000,74,50,62,10.4,3,0,0
1/11/2000,76,43,59.5,8,5,0,0
1/12/2000,79,53,66,14.5,0,1,0
1/13/2000,80,53,66.5,14.9,0,2,0
1/14/2000,61,41,51,-0.6,14,0,0
1/15/2000,70,36,53,1.4,12,0,0
1/16/2000,74,47,60.5,8.9,4,0,0
1/17/2000,77,47,62,10.3,3,0,0
1/18/2000,76,58,67,15.3,0,2,0
1/19/2000,78,63,70.5,18.7,0,6,0
1/20/2000,66,39,52.5,0.7,12,0,0
1/21/2000,56,32,44,-7.9,21,0,0
1/22/2000,73,48,60.5,8.5,4,0,0.29
1/23/2000,70,47,58.5,6.4,6,0,0.43
1/24/2000,49,32,40.5,-11.7,24,0,0
1/25/2000,53,31,42,-10.3,23,0,0
1/26/2000,47,27,37,-15.4,28,0,0
1/27/2000,44,37,40.5,-12,24,0,0.18
1/28/2000,42,38,40,-12.7,25,0,0.22
1/29/2000,41,37,39,-13.8,26,0,0
1/30/2000,53,34,43.5,-9.4,21,0,0.02
1/31/2000,56,28,42,-11.1,23,0,0
2/1/2000,60,36,48,-5.2,17,0,0
2/2/2000,61,42,51.5,-1.9,13,0,0
2/3/2000,66,33,49.5,-4.1,15,0,0
2/4/2000,64,40,52,-1.8,13,0,0
2/5/2000,53,31,42,-11.9,23,0,0
2/6/2000,59,26,42.5,-11.6,22,0,0
2/7/2000,65,34,49.5,-4.8,15,0,0
2/8/2000,68,44,56,1.5,9,0,0
2/9/2000,71,37,54,-0.7,11,0,0
2/10/2000,76,46,61,6.1,4,0,0
2/11/2000,76,63,69.5,14.4,0,5,0
2/12/2000,78,65,71.5,16.1,0,7,0
2/13/2000,75,65,70,14.4,0,5,0
2/14/2000,76,52,64,8.2,1,0,0
2/15/2000,79,51,65,9,0,0,0
2/16/2000,79,57,68,11.8,0,3,0
2/17/2000,81,58,69.5,13.1,0,5,0.07
2/18/2000,84,68,76,19.3,0,11,0
2/19/2000,71,43,57,0.1,8,0,0
2/20/2000,69,36,52.5,-4.6,12,0,0
2/21/2000,71,40,55.5,-1.8,9,0,0
2/22/2000,76,40,58,0.5,7,0,0
2/23/2000,81,54,67.5,9.7,0,3,0
2/24/2000,80,64,72,14,0,7,0
2/25/2000,81,62,71.5,13.3,0,7,0
2/26/2000,81,52,66.5,8.1,0,2,0.57
2/27/2000,71,46,58.5,-0.1,6,0,0
2/28/2000,74,40,57,-1.9,8,0,0
2/29/2000,78,42,60,1,5,0,0
3/1/2000,82,63,72.5,13.4,0,8,0
3/2/2000,79,61,70,10.7,0,5,0
3/3/2000,81,54,67.5,8,0,3,0
3/4/2000,65,47,56,-3.7,9,0,0
3/5/2000,72,39,55.5,-4.4,9,0,0
3/6/2000,78,45,61.5,1.4,3,0,0
3/7/2000,80,50,65,4.7,0,0,0
3/8/2000,82,58,70,9.5,0,5,0
3/9/2000,83,66,74.5,13.8,0,10,0
3/10/2000,83,62,72.5,11.6,0,8,0
3/11/2000,63,43,53,-8.1,12,0,0.31
3/12/2000,64,35,49.5,-11.8,15,0,0
3/13/2000,69,36,52.5,-9,12,0,0
3/14/2000,70,47,58.5,-3.2,6,0,0.01
3/15/2000,67,58,62.5,0.6,2,0,0.58
3/16/2000,80,60,70,8,0,5,0.02
3/17/2000,74,56,65,2.8,0,0,0
3/18/2000,74,58,66,3.6,0,1,0.78
3/19/2000,64,42,53,-9.6,12,0,0.27
3/20/2000,70,37,53.5,-9.3,11,0,0
3/21/2000,75,43,59,-4,6,0,0
3/22/2000,82,55,68.5,5.4,0,4,0
3/23/2000,83,54,68.5,5.2,0,4,0
3/24/2000,82,57,69.5,6,0,5,0
3/25/2000,80,58,69,5.3,0,4,0
3/26/2000,79,64,71.5,7.6,0,7,0.16
3/27/2000,75,50,62.5,-1.5,2,0,1.23
3/28/2000,83,47,65,0.8,0,0,0
3/29/2000,80,61,70.5,6.1,0,6,0
3/30/2000,78,57,67.5,2.9,0,3,0
3/31/2000,79,53,66,1.2,0,1,0
4/1/2000,76,57,66.5,1.5,0,2,0
4/2/2000,81,66,73.5,8.3,0,9,0
4/3/2000,75,55,65,-0.3,0,0,0.42
4/4/2000,65,42,53.5,-12,11,0,0
4/5/2000,72,39,55.5,-10.2,9,0,0
4/6/2000,76,50,63,-2.9,2,0,0
4/7/2000,80,54,67,0.9,0,2,0
4/8/2000,68,41,54.5,-11.8,10,0,0.18
4/9/2000,67,35,51,-15.5,14,0,0
4/10/2000,72,42,57,-9.7,8,0,0
4/11/2000,82,57,69.5,2.6,0,5,0
4/12/2000,77,62,69.5,2.4,0,5,0.28
4/13/2000,65,57,61,-6.4,4,0,0.01
4/14/2000,72,56,64,-3.6,1,0,0
4/15/2000,77,56,66.5,-1.3,0,2,0
4/16/2000,81,56,68.5,0.5,0,4,0
4/17/2000,82,60,71,2.8,0,6,0
4/18/2000,86,56,71,2.5,0,6,0
4/19/2000,87,61,74,5.3,0,9,0
4/20/2000,84,68,76,7.1,0,11,0
4/21/2000,80,53,66.5,-2.7,0,2,0
4/22/2000,80,46,63,-6.4,2,0,0
4/23/2000,78,56,67,-2.6,0,2,0.02
4/24/2000,78,57,67.5,-2.4,0,3,0.63
4/25/2000,77,51,64,-6.1,1,0,0
4/26/2000,82,49,65.5,-4.9,0,1,0
4/27/2000,81,51,66,-4.6,0,1,0
4/28/2000,83,61,72,1.1,0,7,0.01
4/29/2000,82,50,66,-5.1,0,1,0
4/30/2000,84,54,69,-2.4,0,4,0
5/1/2000,82,58,70,-1.6,0,5,0
5/2/2000,82,61,71.5,-0.4,0,7,0
5/3/2000,79,65,72,-0.2,0,7,0.02
5/4/2000,87,64,75.5,3.1,0,11,0
5/5/2000,87,64,75.5,2.8,0,11,1.11
5/6/2000,87,65,76,3.1,0,11,0
5/7/2000,88,68,78,4.8,0,13,0
5/8/2000,88,64,76,2.5,0,11,0
5/9/2000,88,67,77.5,3.8,0,13,0
5/10/2000,89,71,80,6,0,15,0
5/11/2000,90,73,81.5,7.2,0,17,0
5/12/2000,91,74,82.5,8,0,18,0
5/13/2000,85,68,76.5,1.7,0,12,0.02
5/14/2000,84,64,74,-1,0,9,0
5/15/2000,83,55,69,-6.3,0,4,0
5/16/2000,88,55,71.5,-4,0,7,0
5/17/2000,91,62,76.5,0.7,0,12,0
5/18/2000,91,69,80,4,0,15,0
5/19/2000,92,68,80,3.7,0,15,0
5/20/2000,87,72,79.5,3,0,15,0
5/21/2000,87,69,78,1.2,0,13,0
5/22/2000,91,67,79,2,0,14,0
5/23/2000,92,69,80.5,3.3,0,16,0
5/24/2000,93,76,84.5,7,0,20,0
5/25/2000,94,76,85,7.3,0,20,0
5/26/2000,95,76,85.5,7.6,0,21,0
5/27/2000,93,76,84.5,6.4,0,20,0
5/28/2000,94,75,84.5,6.2,0,20,0
5/29/2000,94,69,81.5,3,0,17,0
5/30/2000,94,65,79.5,0.8,0,15,0
5/31/2000,92,66,79,0.1,0,14,0
6/1/2000,92,66,79,-0.1,0,14,0
6/2/2000,93,72,82.5,3.2,0,18,0.03
6/3/2000,94,72,83,3.5,0,18,0
6/4/2000,92,73,82.5,2.9,0,18,0.02
6/5/2000,81,71,76,-3.8,0,11,0.18
6/6/2000,87,67,77,-3,0,12,0
6/7/2000,89,62,75.5,-4.6,0,11,0
