segment,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,Tc
001A,1,CC,0.2,87,10C,001A,NA,NA,2.640293046,0.077823474,1,10.78177238
001B,1,CC,0.85,77.5,25C,001B,NA,NA,3.759630276,0.069857871,1,23.91111273
001C,1,CC,0.7,99.8,35C,001C,NA,NA,2.34101171,0.083435583,1,32.19708546
001D,1,CC,0.65,83,45C,001D,NA,NA,2.167358887,0.088266017,1,40.27912343
001E,1,CC,0.9,102,55C,001E,NA,NA,1.731846477,0.093441672,1,55.11831039
002A,2,CC,0.1,71,10C,002A,0.9925,0.00725319,3.108879625,0.089296363,5,10.35709998
002B,2,CC,0.1,127,25C,002B,0.96,0.015659745,3.82933176,0.079885057,5,25.35214805
002C,2,CC,0.2,135,35C,002C,0.86,0.001956492,3.250732835,0.065027322,5,33.94501488
002D,2,CC,0.15,149,45C,002D,0.853333333,0.005078512,2.305092406,0.061952007,5,39.63106141
002E,2,CC,0.05,103,55C,002E,NA,NA,2.086864144,0.103604806,5,55.39029467
003A,3,CC,0.85,150,10C,003A,NA,NA,3.009750488,0.075297788,4,10.90791577
003B,3,CC,0,145,25C,003B,NA,NA,7.311780603,0.053263316,4,23.3462038
003C,3,CC,0.25,125,35C,003C,NA,NA,2.389695346,0.074418058,4,33.05233827
003D,3,CC,0,115,45C,003D,NA,NA,4.601205047,0.085572139,4,42.25331
003E,3,CC,0.8,131,55C,003E,NA,NA,2.900691961,0.058007566,4,55.20752413
004A,4,LS,0.05,96,10C,004A,0.9125,0.014482642,5.427790173,0.080935702,5,10.29781028
004B,4,LS,0.05,84,25C,004B,1.064285714,0.015672459,6.940119768,0.084128361,5,25.2672381
004C,4,LS,0.3,41,35C,004C,0.974,0.019528416,4.035612097,0.109182349,5,33.90519386
004D,4,LS,0.15,79,45C,004D,1.165,0.021698938,3.182876377,0.08692422,5,39.7085284
004E,4,LS,0,73,55C,004E,1.0625,0.007310716,4.019773015,0.076622248,5,55.39516429
005A,5,MG,0.05,92,10C,005A,0.945,0.060291331,6.837396706,0.093209229,4,11.03068969
005B,5,MG,0,82,25C,005B,0.909,0.042234483,6.461222021,0.087161942,4,23.35853026
005C,5,MG,0,57,35C,005C,0.782,0.04077557,4.168575703,0.105527638,4,33.19117333
005D,5,MG,0,56,45C,005D,0.999,0.059084256,3.956026877,0.100807502,4,42.35057333
005E,5,MG,0.01,56,55C,005E,0.793,0.044942204,4.408092916,0.079562982,4,55.19976041
006A,6,MG,0,52,10C,006A,1.091,0.073415546,6.50106762,0.078092605,3,10.84909386
006B,6,MG,0,54,25C,006B,0.846,0.084354429,3.600288863,0.094400819,3,24.53488
006C,6,MG,0,40,35C,006C,1.191,0.07634949,3.807099998,0.078205517,3,32.80954144
006D,6,MG,0,37,45C,006D,1.14,0.076605107,3.821036152,0.078567538,3,40.78096129
006E,6,MG,0,51,55C,006E,1.125,0.094717476,2.796333632,0.086438923,3,55.1326562
007A,7,TD,0.2,67.8,10C,007A,1.44,0.033282092,15.86906602,0.093068953,1,10.85644679
007B,7,TD,0.1,74,25C,007B,NA,NA,6.138850276,0.098712446,1,23.928466
