segment,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,diam,Round,Tc,mf,vpd,E,bark_thickness,water_content,RWC_end,LossFrac_end,RWC_end_sat
001A,1,CC,0.2,87,10C,001A,NA,NA,2.617241295,0.077823474,7.9025,1,10.78177238,0.991269245,0.823732039,0.021469832,0.615,0.001150053,0.993742178,0.006257822,0.603176913
001B,1,CC,0.85,77.5,25C,001B,NA,NA,3.673052816,0.069857871,9.3225,1,23.91111273,0.976971815,1.274927081,0.047317418,0.65125,0.001123046,0.976346316,0.023653684,0.543304988
001C,1,CC,0.7,99.8,35C,001C,NA,NA,2.265586951,0.083435583,8.15,1,32.19708546,0.967781127,3.098286236,0.071600438,0.68,0.000964956,0.958151788,0.041848212,0.537207376
001D,1,CC,0.65,83,45C,001D,NA,NA,2.06839733,0.088266017,7.18,1,40.27912343,0.954340023,5.771821006,0.123490696,0.63375,0.00117925,0.947390632,0.052609368,0.61413854
001E,1,CC,0.9,102,55C,001E,NA,NA,1.580926894,0.093441672,8.615,1,55.11831039,0.912856258,14.04619295,0.24013672,0.805,0.001116651,0.923604573,0.076395427,0.561723687
002A,2,CC,0.1,71,10C,002A,0.9925,0.00725319,3.083118749,0.089296363,8.385,5,10.35709998,0.991713775,0.838549264,0.025734933,0.74875,0.001174437,0.991971717,0.008028283,0.60888594
002B,2,CC,0.1,127,25C,002B,0.96,0.015659745,3.733369736,0.079885057,8.7,5,25.35214805,0.974940269,1.40137368,0.052974578,0.695,0.000864616,0.972936401,0.027063599,0.455604544
002C,2,CC,0.2,135,35C,002C,0.86,0.001956492,3.136774655,0.065027322,9.15,5,33.94501488,0.964943849,3.52759273,0.113201002,0.595,0.00124095,0.967744159,0.032255841,0.628310721
002D,2,CC,0.15,149,45C,002D,0.853333333,0.005078512,2.201701522,0.061952007,10.835,5,39.63106141,0.95514675,5.400707356,0.122893677,0.67125,0.001126913,0.962677462,0.037322538,0.550501426
002E,2,CC,0.05,103,55C,002E,NA,NA,1.900989115,0.103604806,9.3625,5,55.39029467,0.910930939,14.07133751,0.289881241,0.97,0.001242556,0.90662799,0.09337201,0.595464198
003A,3,CC,0.85,150,10C,003A,NA,NA,2.983368103,0.075297788,8.815,4,10.90791577,0.991234361,0.838639645,0.024917039,0.66375,0.001151381,0.992686036,0.007313964,0.586603263
003B,3,CC,0,145,25C,003B,NA,NA,7.145047587,0.053263316,9.9975,4,23.3462038,0.97719666,1.121967203,0.080983001,0.5325,0.001200079,0.969152788,0.030847212,0.579542528
003C,3,CC,0.25,125,35C,003C,NA,NA,2.309108185,0.074418058,10.6325,4,33.05233827,0.966277224,3.281568467,0.077413118,0.79125,0.001070425,0.969488536,0.030511464,0.506831996
003D,3,CC,0,115,45C,003D,NA,NA,4.370543997,0.085572139,7.5375,4,42.25331,0.949869426,6.566135231,0.298244171,0.645,0.001330971,0.887156377,0.112843623,0.572031215
003E,3,CC,0.8,131,55C,003E,NA,NA,2.645215454,0.058007566,7.93,4,55.20752413,0.911925668,13.99340067,0.400696395,0.46,0.001310583,0.837104424,0.162895576,0.576145575
004A,4,LS,0.05,96,10C,004A,0.9125,0.014482642,5.38327255,0.080935702,9.9925,5,10.29781028,0.991798205,0.845795782,0.045318875,0.80875,0.00160233,0.989959749,0.010040251,0.733877729
004B,4,LS,0.05,84,25C,004B,1.064285714,0.015672459,6.766972844,0.084128361,8.6475,5,25.2672381,0.975051306,1.391690912,0.095345524,0.7275,0.001392003,0.968380329,0.031619671,0.636380898
004C,4,LS,0.3,41,35C,004C,0.974,0.019528416,3.894409373,0.109182349,7.705,5,33.90519386,0.965010829,3.518026568,0.140151931,0.84125,0.001753984,0.957863707,0.042136293,0.783511634
