segment,Tc,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,Season
004A,6.196067382,4,LS,0.05,108,10C,004A,0.84,0.033527232,5.985843799,0.076203209,2,2024spring
004B,24.36030875,4,LS,0.3,77,25C,004B,0.8,0.037158145,3.443785775,0.074712644,2,2024spring
004C,32.34993944,4,LS,0.25,57,35C,004C,0.9,0.050314465,2.651363427,0.100628931,2,2024spring
004D,41.096095,4,LS,0,66.8,45C,004D,0.66,0.10063042,4.772663267,0.068561873,2,2024spring
004E,55.22503543,4,LS,0,70,55C,004E,0.77,0.035125001,7.550418653,0.068441065,2,2024spring
016A,6.198242318,16,PE,0.05,62,10C,016A,NA,NA,7.120322097,0.125,2,2024spring
016B,24.37312632,16,PE,0.1,84.5,25C,016B,NA,NA,4.102953516,0.092261905,2,2024spring
016C,32.34609779,16,PE,0,43,35C,016C,NA,NA,3.477607532,0.12539185,2,2024spring
016D,41.04625576,16,PE,0.1,58,45C,016D,NA,NA,3.395335633,0.084175084,2,2024spring
016E,55.22589271,16,PE,0.3,52,55C,016E,NA,NA,4.32829616,0.131805158,2,2024spring
017A,6.207346611,17,PE,0.1,52.9,10C,017A,NA,NA,4.549003917,0.081005587,2,2024spring
017B,24.35691358,17,PE,0,45,25C,017B,NA,NA,4.711617173,0.102836879,2,2024spring
017C,32.34679639,17,PE,0.45,67,35C,017C,NA,NA,5.035864085,0.100303951,2,2024spring
017D,41.13084031,17,PE,0,46,45C,017D,NA,NA,3.674895855,0.034810127,2,2024spring
017E,55.22474281,17,PE,0.2,63,55C,017E,NA,NA,4.364519373,0.08662614,2,2024spring
018A,5.603597214,18,PE,0,43.5,10C,018A,NA,NA,12.5216781,0.126086957,1,2024spring
018B,23.86834444,18,PE,0,19,25C,018B,NA,NA,6.198526622,0.135775862,1,2024spring
018C,31.76554203,18,PE,0,45.5,35C,018C,NA,NA,2.313370046,0.10252809,1,2024spring
018D,39.42846485,18,PE,0,37,45C,018D,NA,NA,3.090019827,0.125925926,1,2024spring
018E,54.57738657,18,PE,0,48,55C,018E,NA,NA,3.932041367,0.137658228,1,2024spring
019A,5.698726641,19,PE,0.15,57,10C,019A,NA,NA,6.53800881,0.120192308,1,2024spring
019B,23.86745625,19,PE,0.05,68,25C,019B,NA,NA,3.467916718,0.105571848,1,2024spring
019C,31.78646774,19,PE,0,57,35C,019C,NA,NA,3.274129939,0.109034268,1,2024spring
019D,39.25860344,19,PE,0,90,45C,019D,NA,NA,2.627786776,0.104166667,1,2024spring
019E,54.46021488,19,PE,0,55,55C,019E,NA,NA,6.00487105,0.096938776,1,2024spring
020A,5.472200074,20,PE,0,71.5,10C,020A,NA,NA,6.751295751,0.096153846,1,2024spring
020B,23.8736825,20,PE,0.3,52.8,25C,020B,NA,NA,4.721701745,0.095744681,1,2024spring
020C,31.72615,20,PE,0.25,63.5,35C,020C,NA,NA,4.516846889,0.085301837,1,2024spring
020D,39.58535671,20,PE,0,50,45C,020D,NA,NA,3.658692646,0.092145015,1,2024spring
020E,54.59177056,20,PE,0.4,56,55C,020E,NA,NA,5.602865709,0.120141343,1,2024spring
021A,5.861026857,21,LS,0,38,10C,021A,1.044444444,0.036770339,3.767346306,0.063862928,1,2024spring
021B,23.88364,21,LS,0,82,25C,021B,1.98,0.052497196,3.800336991,0.084699454,1,2024spring
021C,31.83837407,21,LS,0,32,35C,021C,0.75,0.086975429,3.505157201,0.108058608,1,2024spring
021D,39.0417687,21,LS,0,56,45C,021D,1.0125,0.035273369,3.600350629,0.077546296,1,2024spring
021E,54.4476052,21,LS,0,45.5,55C,021E,0.7,0.015659408,3.826847822,0.095522388,1,2024spring
022A,6.02279206,22,LS,0,69,10C,022A,0.78,0.12957564,4.915391475,0.069970845,1,2024spring
022B,23.89764,22,LS,0,137,25C,022B,0.93,0.067872954,3.244597836,0.079365079,1,2024spring
022C,31.89537083,22,LS,0,69,35C,022C,0.57,0.07846522,0.732249229,0.086350975,1,2024spring
022D,38.76297872,22,LS,0,64,45C,022D,0.821,0.116040243,5.141151701,0.083773319,1,2024spring
022E,54.26009313,22,LS,0,93,55C,022E,0.95,0.054587184,5.453327394,0.072886297,1,2024spring
024A,6.197068931,24,LS,0.15,67,10C,024A,0.85,0.073429952,7.110264985,0.09057971,2,2024spring
024B,24.36682436,24,LS,0.4,63.5,25C,024B,0.74,0.043808657,4.165204101,0.073800738,2,2024spring
024C,32.34737304,24,LS,0.1,57.5,35C,024C,0.675,0.080961417,5.560183512,0.133333333,2,2024spring
024D,41.05998483,24,LS,0.6,64.5,45C,024D,1.171428571,0.02734108,5.517436115,0.102040816,2,2024spring
024E,55.22549026,24,LS,0.8,58,55C,024E,0.85,0.045235564,2.989946002,0.12145749,2,2024spring
026A,6.200243198,26,LS,0.1,62,10C,026A,1.04,0.044705801,14.25457273,0.096100279,2,2024spring
026B,24.376256,26,LS,0.03,35,25C,026B,0.93,0.103896104,1.197490077,0.125454545,2,2024spring
026C,32.34328591,26,LS,0.3,55,35C,026C,0.87,0.026569423,1.333105436,0.080996885,2,2024spring
026D,41.00532614,26,LS,0.9,66,45C,026D,0.76,0.010833004,8.530675061,0.100286533,2,2024spring
026E,55.22630791,26,LS,0.2,56,55C,026E,0.82,0.04899079,3.227104865,0.086419753,2,2024spring
004A,10.29781028,4,LS,0.05,96,10C,004A,0.9125,0.014482642,5.427790173,0.080935702,5,2023summer
004B,25.2672381,4,LS,0.05,84,25C,004B,1.064285714,0.015672459,6.940119768,0.084128361,5,2023summer
004C,33.90519386,4,LS,0.3,41,35C,004C,0.974,0.019528416,4.035612097,0.109182349,5,2023summer
004D,39.7085284,4,LS,0.15,79,45C,004D,1.165,0.021698938,3.182876377,0.08692422,5,2023summer
004E,55.39516429,4,LS,0,73,55C,004E,1.0625,0.007310716,4.019773015,0.076622248,5,2023summer
016A,11.05963482,16,PE,0,56.5,10C,016A,NA,NA,7.036514826,0.126687847,1,2023summer
016B,23.93834624,16,PE,0,36,25C,016B,NA,NA,7.022229043,0.192213366,1,2023summer
016C,32.20180256,16,PE,0,53,35C,016C,NA,NA,3.545598601,0.110027855,1,2023summer
016D,40.11545284,16,PE,0,43.5,45C,016D,NA,NA,5.774803815,0.13022306,1,2023summer
016E,55.11904737,16,PE,0.1,61,55C,016E,NA,NA,3.558381402,0.097506234,1,2023summer
017A,11.19878711,17,PE,0,93,10C,017A,NA,NA,4.252800739,0.084275066,2,2023summer
017B,23.72337769,17,PE,0,64,25C,017B,NA,NA,3.707508598,0.093645017,2,2023summer
017C,33.60613968,17,PE,0,72,35C,017C,NA,NA,3.398873424,0.113460183,2,2023summer
017D,41.07388084,17,PE,0,49,45C,017D,NA,NA,2.898855389,0.103419093,2,2023summer
017E,47.58815432,17,PE,0,62,55C,017E,NA,NA,4.923884985,0.073398216,2,2023summer
018A,10.83019252,18,PE,0,70,10C,018A,NA,NA,4.067682182,0.100641417,3,2023summer
018B,24.53123516,18,PE,0,66,25C,018B,NA,NA,5.075080035,0.088081306,3,2023summer
018C,32.90194637,18,PE,0,44,35C,018C,NA,NA,2.62381681,0.113449088,3,2023summer
018D,40.7529625,18,PE,0,54,45C,018D,NA,NA,4.784225135,0.107105263,3,2023summer
018E,55.12338231,18,PE,0,59,55C,018E,NA,NA,4.127397569,0.087374335,3,2023summer
019A,10.62280091,19,PE,0,72,10C,019A,NA,NA,4.03199168,0.111381454,4,2023summer
019B,23.30020222,19,PE,0,58,25C,019B,NA,NA,3.483246132,0.129053828,4,2023summer
019C,32.8588033,19,PE,0,64,35C,019C,NA,NA,2.57031283,0.106356199,4,2023summer
019D,42.13856292,19,PE,0,60,45C,019D,NA,NA,5.427915622,0.0955928,4,2023summer
019E,55.22897154,19,PE,0,60,55C,019E,NA,NA,4.49893852,0.094228504,4,2023summer
020A,10.17942412,20,PE,0,69,10C,020A,NA,NA,4.813615149,0.093361801,5,2023summer
020B,25.090456,20,PE,0.15,72,25C,020B,NA,NA,7.841633595,0.097618188,5,2023summer
020C,33.33573874,20,PE,0,80,35C,020C,NA,NA,3.812596865,0.112837838,5,2023summer
020D,40.079437,20,PE,0,74,45C,020D,NA,NA,7.655320864,0.105147059,5,2023summer
020E,55.39943,20,PE,0,78,55C,020E,NA,NA,6.505245393,0.088570379,5,2023summer
021A,11.27872628,21,LS,0,55,10C,021A,1.237,0.067628099,6.196756462,0.093541848,2,2023summer
021B,23.74197917,21,LS,0,61,25C,021B,1.342,0.037000391,10.23143547,0.074703121,2,2023summer
021C,33.79845667,21,LS,0,43,35C,021C,1.292,0.070477301,7.672826398,0.080635754,2,2023summer
