segment,Tc,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,Season
004A,6.196067382,4,LS,0.05,108,10C,004A,0.84,0.033527232,5.949383444,0.076203209,2,2024spring
004B,24.36030875,4,LS,0.3,77,25C,004B,0.8,0.037158145,3.364319076,0.074712644,2,2024spring
004C,32.34993944,4,LS,0.25,57,35C,004C,0.9,0.050314465,2.566395721,0.100628931,2,2024spring
004D,41.096095,4,LS,0,66.8,45C,004D,0.66,0.10063042,4.548330009,0.068561873,2,2024spring
004E,55.22503543,4,LS,0,70,55C,004E,0.77,0.035125001,6.890864761,0.068441065,2,2024spring
016A,6.198242318,16,PE,0.05,62,10C,016A,NA,NA,7.076814706,0.125,2,2024spring
016B,24.37312632,16,PE,0.1,84.5,25C,016B,NA,NA,4.008317118,0.092261905,2,2024spring
016C,32.34609779,16,PE,0,43,35C,016C,NA,NA,3.366254749,0.12539185,2,2024spring
016D,41.04625576,16,PE,0.1,58,45C,016D,NA,NA,3.236172268,0.084175084,2,2024spring
016E,55.22589271,16,PE,0.3,52,55C,016E,NA,NA,3.950229907,0.131805158,2,2024spring
017A,6.207346611,17,PE,0.1,52.9,10C,017A,NA,NA,4.52129771,0.081005587,2,2024spring
017B,24.35691358,17,PE,0,45,25C,017B,NA,NA,4.602885715,0.102836879,2,2024spring
017C,32.34679639,17,PE,0.45,67,35C,017C,NA,NA,4.874449101,0.100303951,2,2024spring
017D,41.13084031,17,PE,0,46,45C,017D,NA,NA,3.501834948,0.034810127,2,2024spring
017E,55.22474281,17,PE,0.2,63,55C,017E,NA,NA,3.983245538,0.08662614,2,2024spring
018A,5.603597214,18,PE,0,43.5,10C,018A,NA,NA,12.44795239,0.126086957,1,2024spring
018B,23.86834444,18,PE,0,19,25C,018B,NA,NA,6.064291814,0.135775862,1,2024spring
018C,31.76554203,18,PE,0,45.5,35C,018C,NA,NA,2.242976154,0.10252809,1,2024spring
018D,39.42846485,18,PE,0,37,45C,018D,NA,NA,2.956904036,0.125925926,1,2024spring
018E,54.57738657,18,PE,0,48,55C,018E,NA,NA,3.599941178,0.137658228,1,2024spring
019A,5.698726641,19,PE,0.15,57,10C,019A,NA,NA,6.499099685,0.120192308,1,2024spring
019B,23.86745625,19,PE,0.05,68,25C,019B,NA,NA,3.392566052,0.105571848,1,2024spring
019C,31.78646774,19,PE,0,57,35C,019C,NA,NA,3.174271721,0.109034268,1,2024spring
019D,39.25860344,19,PE,0,90,45C,019D,NA,NA,2.515336321,0.104166667,1,2024spring
