segment,Tc,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,mf,vpd,bark_thickness,E,water_content,RWC_end,LossFrac_end
004A,6.196067382,4,LS,0.05,108,10C,004A,0.84,0.033527232,5.949383444,0.076203209,2,0.993908903,0.669624882,0.7125,0.039568311,0.001731522,0.995351901,0.004648099
004B,24.36030875,4,LS,0.3,77,25C,004B,0.8,0.037158145,3.364319076,0.074712644,2,0.97692461,1.427180922,0.65,0.048518315,0.001618277,0.985510428,0.014489572
004C,32.34993944,4,LS,0.25,57,35C,004C,0.9,0.050314465,2.566395721,0.100628931,2,0.967953203,3.217231645,0.8,0.084205827,0.001531167,0.97372498,0.02627502
004D,41.096095,4,LS,0,66.8,45C,004D,0.66,0.10063042,4.548330009,0.068561873,2,0.952996211,6.138117522,0.5125,0.289192182,0.001791731,0.930133181,0.069866819
004E,55.22883079,4,LS,0,70,55C,004E,0.77,0.035125001,6.890864761,0.068441065,2,0.912646712,14.17179515,0.45,1.056297991,0.001516348,0.708211144,0.291788856
016A,6.198242318,16,PE,0.05,62,10C,016A,NA,NA,7.076814706,0.125,2,0.993889688,0.66635703,1.0625,0.046837875,0.001647118,0.993736553,0.006263447
016B,24.37312632,16,PE,0.1,84.5,25C,016B,NA,NA,4.008317118,0.092261905,2,0.976934567,1.433859977,0.775,0.058075625,0.00160908,0.982177911,0.017822089
016C,32.34609779,16,PE,0,43,35C,016C,NA,NA,3.366254749,0.12539185,2,0.96798006,3.220622607,1,0.110563292,0.001737075,0.981138211,0.018861789
016D,41.04625576,16,PE,0.1,58,45C,016D,NA,NA,3.236172268,0.084175084,2,0.953122936,6.121904198,0.625,0.205191703,0.001718117,0.961947814,0.038052186
016E,55.22987358,16,PE,0.3,52,55C,016E,NA,NA,3.950229907,0.131805158,2,0.912652407,14.17454636,1.15,0.605642987,0.001738994,0.90073787,0.09926213
017A,6.207346611,17,PE,0.1,52.9,10C,017A,NA,NA,4.52129771,0.081005587,2,0.99390939,0.671064057,0.725,0.030134976,0.002015886,0.996033817,0.003966183
017B,24.35691358,17,PE,0,45,25C,017B,NA,NA,4.602885715,0.102836879,2,0.976922688,1.425557948,0.725,0.06630487,0.0018291,0.97828067,0.02171933
017C,32.34679639,17,PE,0.45,67,35C,017C,NA,NA,4.874449101,0.100303951,2,0.967946914,3.214222365,0.825,0.159786643,0.0017645,0.957485497,0.042514503
017D,41.13084031,17,PE,0,46,45C,017D,NA,NA,3.501834948,0.034810127,2,0.952907262,6.149415555,0.275,0.223084519,0.001867335,0.948939779,0.051060221
017E,55.22835252,17,PE,0.2,63,55C,017E,NA,NA,3.983245538,0.08662614,2,0.912642423,14.17019335,0.7125,0.610524022,0.001772646,0.881311041,0.118688959
018A,5.603597214,18,PE,0,43.5,10C,018A,NA,NA,12.44795239,0.126086957,1,0.994112155,0.630164503,1.0875,0.077894541,0.001397555,0.987100393,0.012899607
018B,23.86834444,18,PE,0,19,25C,018B,NA,NA,6.064291814,0.135775862,1,0.978344078,1.537592578,0.7875,0.094084981,0.001602163,0.970553028,0.029446972
018C,31.76554203,18,PE,0,45.5,35C,018C,NA,NA,2.242976154,0.10252809,1,0.969570847,3.233875811,0.9125,0.073851446,0.001702135,0.991499897,0.008500103
018D,39.42846485,18,PE,0,37,45C,018D,NA,NA,2.956904036,0.125925926,1,0.956920732,5.634238762,0.85,0.171864852,0.001303599,0.930169165,0.069830835
018E,54.48553843,18,PE,0,48,55C,018E,NA,NA,3.599941178,0.137658228,1,0.915540006,13.66095129,1.0875,0.530260864,0.001637889,0.926146435,0.073853565
019A,5.698726641,19,PE,0.15,57,10C,019A,NA,NA,6.499099685,0.120192308,1,0.994048781,0.629241892,0.9375,0.040611935,0.00123502,0.986745003,0.013254997
019B,23.86745625,19,PE,0.05,68,25C,019B,NA,NA,3.392566052,0.105571848,1,0.978272066,1.522677157,0.9,0.052127518,0.001662778,0.987959675,0.012040325
