"","segment","int","slope","R2","D","D_sd","Tc","Tc_sd","mf","mf_sd","vpd","mols_per_sec","TreeID","sp","lichen","apex_dist","fresh_mass","dry_mass","length_counted_lenticel","n_lenticels","lenticel_diam1","lenticel_diam2","lenticel_diam3","lenticel_diam4","lenticel_diam5","lenticel_diam6","lenticel_diam7","lenticel_diam8","lenticel_diam9","lenticel_diam10","exposed_length","total_length","basal_diam1","basal_diam2","basal_xylem_diam1","basal_xylem_diam2","basal_pith_diam1","basal_pith_diam2","distal_diam1","distal_diam2","distal_xylem_diam1","distal_xylem_diam2","distal_pith_diam1","distal_pith_diam2","treatment","sampleID","diam","wood_diam","sa","bark_thickness","vol","water_content","density","lenticel_size","LD","E","gs","bark_thickness_ratio","RWC_end","LossFrac_end"
"1","004A","5.39762081909597",-0.00421370692180019,"0.99331",0.00661031472395383,"0.00134446004850967","6.19606738202247","1.32833351156081",0.993908903065761,"0.00120296130357639","0.669624881536523",6.49711880661581e-08,4,"LS",0.05,108,5.1941,2.4618,31.9,10,0.8,1.3,0.4,1.5,0.6,0.7,0.7,0.5,1,0.9,55.9,72.2,9.4,9.3,7.8,8,1.6,1.6,9.4,9.3,7.8,8.1,1.7,1.6,"10C","004A",9.35,7.925,0.00164200052428851,0.7125,1577.976125,0.0017315217617757,0.00156009964979667,0.84,0.0335272324945937,0.0395683114013076,5.94938344441114,0.0762032085561498,0.995351901328551,0.00464809867144889
"2","004B","3.88302884131224",-0.00399058289931393,"0.99964",0.0140886566823347,"0.000613205527450606","24.36030875","0.113415749351443",0.976924610013991,"0.000347178043722981","1.4271809219205",6.15308365903513e-08,4,"LS",0.3,77,3.6886,1.8666,46.4,15,0.6,0.8,0.8,1.1,1.1,1.1,0.5,0.5,0.8,0.7,46.4,59.5,8.8,8.8,7.7,7.2,2.1,2.1,8.4,8.8,7.3,7.4,1.4,1.9,"25C","004B",8.7,7.4,0.00126819812240113,0.649999999999999,1125.88875,0.00161827711663342,0.00165789026668932,0.8,0.0371581450653983,0.0485183154772794,3.36431907561554,0.0747126436781609,0.985510428100988,0.0144895718990119
"3","004C","3.30660780949369",-0.00718808628208076,"0.99976",0.0317594436787661,"0.00109981517824179","32.3499394444444","0.27098116192978",0.967953202870507,"0.000320684721115653","3.21723164465901",1.10833172390955e-07,4,"LS",0.25,57,3.1012,1.4875,25,10,0.7,0.8,1.3,0.8,1.3,1.2,0.7,0.6,0.8,0.8,52.7,66.7,8.9,8.3,6.7,6.6,2.7,2.1,7.3,7.3,5.8,6.3,1.5,1,"35C","004C",7.95,6.35,0.00131621736611125,0.8,1053.9016875,0.00153116748852345,0.00141142197383568,0.9,0.050314465408805,0.0842058274298648,2.56639572108102,0.10062893081761,0.973724979859949,0.0262750201400509
"4","004D","2.66319964299042",-0.0192914666003233,"0.99798",0.0605934602396606,"0.00244100122852647","41.096095","0.60220991252234",0.952996210746756,"0.00128599795336331","6.13811752227762",2.97455311397438e-07,4,"LS",0,66.8,2.4936,1.0895,22.6,17,0.7,0.6,0.6,0.6,0.5,0.7,0.8,0.7,0.6,0.8,43.8,56.1,7.7,7.2,6.1,6.6,1.6,1.6,7.5,7.5,6.4,6.7,2.4,1.8,"45C","004D",7.475,6.45,0.00102857314274857,0.5125,783.655640625,0.00179173086648131,0.00139027902502058,0.66,0.100630419984018,0.289192181902177,4.54833000855713,0.068561872909699,0.930133181397337,0.0698668186026634
"5","004E","2.09220842583067",-0.0612722032373635,"0.99359",0.139899261091894,"0.00101128559521623","55.2288307932075","0.0859154130745344",0.912646712312399,"0.000331726004328355","14.1717951486089",9.44756698470587e-07,4,"LS",0,70,1.9104,1.0238,43.3,10,0.7,0.6,0.6,0.7,0.5,1.2,1,0.6,1.1,0.7,43.3,54.1,6.6,6.6,5.8,5.9,1.3,1.5,6.4,6.7,5.4,5.6,1,1.2,"55C","004E",6.575,5.675,0.00089440357449538,0.45,584.694203125,0.00151634819579433,0.00175100077019427,0.77,0.0351250010976563,1.05629799053924,6.89086476056943,0.0684410646387832,0.708211143695015,0.291788856304985
"6","016A","4.38753198769892",-0.00434784731035859,"0.99214",0.00657805557981497,"0.00136733690324925","6.19824231764706","1.35955340366657",0.993889687756112,"0.00122782614990846","0.666357030235256",6.70395000237852e-08,16,"PE",0.05,62,4.1543,2.0628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,70.3,8.8,8.9,6.6,6.4,0.7,0.6,7.7,8.6,6,6.5,0.7,0.8,"10C","016A",8.5,6.375,0.00143130961297551,1.0625,1269.79375,0.00164711788823972,0.00162451579242692,NA,NA,0.0468378745004155,7.07681470573518,0.125,0.993736552713363,0.00626344728663664
"7","016B","4.11342626997692",-0.00541705284302133,"0.99781",0.0141545900965052,"0.000554936447446191","24.3731263157895","0.101037431174024",0.976934567206844,"0.000353462630651514","1.43385997677598",8.35255905453181e-08,16,"PE",0.1,84.5,3.9478,2.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,68.2,8.2,8.8,7,6.8,1.3,1.1,8.4,8.2,6.7,6.9,1,1,"25C","016B",8.4,6.85,0.00143822111681341,0.774999999999999,1203.048,0.00160907960447131,0.00167241872310997,NA,NA,0.0580756252073266,4.00831711765322,0.0922619047619047,0.982177910941213,0.0178220890587868
"8","016C","3.73297938996945",-0.00916231496898657,"0.99885",0.0317929181336701,"0.00112308504044412","32.3460977941176","0.278456506804256",0.967980060427449,"0.000309470824569282","3.22062260694078",1.41273823742132e-07,16,"PE",0,43,3.5779,1.7329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,66.8,8.3,8,5.8,6.1,0.6,1.1,7.9,7.7,6,6,0.6,0.9,"35C","016C",7.975,5.975,0.00127776427203131,1,1062.1304375,0.00173707478371742,0.00163153219116743,NA,NA,0.110563291551065,3.36625474851632,0.125391849529781,0.981138211382114,0.0188617886178862
"9","016D","3.64204490155853",-0.0174145599261637,"0.99894",0.0604334076769162,"0.00238763016168609","41.0462557627119","0.57228407919254",0.953122936167867,"0.00118026394631978","6.12190419767161",2.68515269108651e-07,16,"PE",0.1,58,3.4805,1.7329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,73.8,7.6,7.5,6.4,6,0.6,0.6,7.1,7.5,6.4,5.9,0.9,0.7,"45C","016D",7.425,6.175,0.00130860685790793,0.625,1017.16003125,0.00171811705760042,0.00170366505442651,NA,NA,0.205191702523955,3.23617226803543,0.0841750841750841,0.961947814145113,0.0380521858548867
"10","016E","5.02886800124317",-0.0624458399605117,"0.99712",0.139926420097658,"0.00102156587085463","55.2298735756863","0.0874388747392492",0.912652406557202,"0.000336948582562808","14.1745463558927",9.62853014535311e-07,16,"PE",0.3,52,4.9099,2.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,73.3,8.7,9.1,6.3,6.6,1,0.6,9,8.1,6.3,6.5,0.8,0.7,"55C","016E",8.725,6.425,0.00158980296234911,1.15,1395.002078125,0.00173899382519961,0.00178064250867547,NA,NA,0.605642986796669,3.95022990675171,0.131805157593123,0.900737870481059,0.0992621295189411
