"","segment","int","slope","R2","D","D_sd","Tc","Tc_sd","mf","mf_sd","vpd","RH","RH_sd","D_early","D_late","mf_early","mf_late","vpd_early","vpd_late","RH_early","RH_late","Tc_early","Tc_late","mols_per_sec","TreeID","sp","lichen","apex_dist","fresh_mass","dry_mass","length_counted_lenticel","n_lenticels","lenticel_diam1","lenticel_diam2","lenticel_diam3","lenticel_diam4","lenticel_diam5","lenticel_diam6","lenticel_diam7","lenticel_diam8","lenticel_diam9","lenticel_diam10","exposed_length","total_length","basal_diam1","basal_diam2","basal_xylem_diam1","basal_xylem_diam2","basal_pith_diam1","basal_pith_diam2","distal_diam1","distal_diam2","distal_xylem_diam1","distal_xylem_diam2","distal_pith_diam1","distal_pith_diam2","treatment","sampleID","diam","wood_diam","sa","bark_thickness","vol","water_content","density","lenticel_size","LD","E","gs","bark_thickness_ratio","RWC_end","LossFrac_end"
"1","001A","3.0955301035549",-0.00108131762958855,"0.99149",0.0081316094714663,"0.00167539528643413","10.781772375","0.929781452847375",0.991269245315924,"0.00114981089918311","0.823732039459536",36.2039552678571,"13.5186257741981",0.00801682521422048,0.00830251047669897,0.991665203182643,0.990679708047698,0.812104394200535,0.841044311289606,34.7840491044776,38.3180377777778,10.2460642686567,11.5793822222222,1.66728470619964e-08,1,"CC",0.2,87,2.7745,1.7358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.28,57.85,8.28,8.04,7.1,6.53,1.05,1.1,7.47,7.82,6.42,6.64,0.83,1.34,"10C","001A",7.9025,6.6725,0.000776570916359392,0.615,903.175984140625,0.00115005272310061,0.00192188458338119,NA,NA,0.0214698319377702,2.61724129481289,0.0778234735843088,0.993742177722153,0.00625782227784721
"2","001B","4.12024193690311",-0.00397074988954408,"0.99129",0.0125856572640077,"0.000640889312519927","23.9111127272727","0.249964011027603",0.97697181547242,"0.00020476348020132","1.27492708084398",57.095972,"1.60852492491279",0.012143428524233,0.0132490003736699,0.97698235943331,0.976955999531083,1.2301293095048,1.34212373785276,58.25649,55.355195,23.7804833333333,24.1070568181818,6.12250312195487e-08,1,"CC",0.85,77.5,3.9325,2.3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.18,63.24,9.88,10.15,8.58,8.72,0.89,0.83,8.61,8.65,7.29,7.49,0.97,0.9,"25C","001B",9.3225,8.02,0.00129392164012835,0.65125,1374.0313888125,0.00112304566879918,0.00173897046272358,NA,NA,0.0473174180883746,3.67305281588022,0.0698578707428265,0.976346315857689,0.0236536841423111
"3","001C","3.77013387376858",-0.00467022878285366,"0.99918",0.0305852540531708,"0.000482155354661619","32.197085462963","0.14322580882253",0.967781127293098,"0.000245402025544552","3.0982862355862",35.6277805555556,"0.685883121764331",0.0303527246937985,0.0309367519219894,0.967749717417058,0.967828607338274,3.07473101148179,3.13389296969753,36.0015769230769,35.0627395348837,32.1656295384615,32.2446351162791,7.20103030879845e-08,1,"CC",0.7,99.8,3.2246,2.2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.28,61.59,8.06,8.48,7.19,6.78,1.69,1.63,7.92,8.14,6.6,6.59,1.08,0.79,"35C","001C",8.15,6.79,0.00100572433937901,0.68,1022.74044375,0.000964956461857921,0.0021879451562463,NA,NA,0.0716004378818631,2.26558695139579,0.0834355828220859,0.958151788428413,0.0418482115715875
"4","001D","4.21560803303249",-0.00903098686911634,"0.99412",0.0569775025305848,"0.00534430752935387","40.2791234285714","1.30742878451064",0.954340023153747,"0.00284816178716579","5.77182100634824",23.2507466666667,"1.3706242939643",0.0582647554539918,0.0550466231454743,0.953443898109639,0.955684210719909,5.90221972748937,5.57622292463655,23.1471920634921,23.4060785714286,40.6553592063492,39.7147697619048,1.39248874491178e-07,1,"CC",0.65,83,3.8784,2.4566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.99,93.55,7.21,7.5,5.85,5.94,1.34,1.08,7.14,6.87,5.76,6.1,0.66,0.8,"45C","001D",7.18,5.9125,0.00112760619628621,0.63375,1205.681755,0.00117924982616993,0.00203751942816784,NA,NA,0.123490696441538,2.06839732994665,0.088266016713092,0.947390631593754,0.0526093684062461
"5","001E","4.45861757544006",-0.0178930733156324,"0.99932",0.138659357834589,"0.000702527195298595","55.1183103896104","0.0935732974512433",0.912856257550027,"0.000367864811079268","14.0461929486438",11.3848987012987,"0.11272452272956",0.138562525924061,0.138803043895372,0.912869798952446,0.912836163856114,14.0363838761074,14.0607483466012,11.4117086956522,11.3451161290323,55.1100280434783,55.1306003225806,2.75893471721296e-07,1,"CC",0.9,102,4.1748,2.6878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.45,71.77,9.26,9.17,7.57,7.19,1.47,1.18,7.95,8.08,6.49,6.77,0.8,0.78,"55C","001E",8.615,7.005,0.0011489016391682,0.805,1331.6605020625,0.00111665097650408,0.00201838230978323,NA,NA,0.240136720425468,1.58092689401773,0.0934416715031921,0.923604572965703,0.0763954270342971
"6","002A","3.8114155207854",-0.00166324352571546,"0.9912",0.00827788019898214,"0.00174789909736304","10.357099975","0.52368263784225",0.991713774947089,"0.00101763023019637","0.83854926415689",33.24464975,"14.3581240553137",0.00806041630669355,0.00860407603741502,0.991835398609924,0.991531339452835,0.816520171868057,0.871592902590141,33.7476939583333,32.4900834375,10.0792437083333,10.773884375,2.56455681219785e-08,2,"CC",0.1,71,3.5568,2.1991,65.77,4,0.78,0.63,1.13,1.43,NA,NA,NA,NA,NA,NA,37.83,65.77,9.3,8.84,7.47,7.18,1.47,1.35,7.89,7.51,6.31,6.59,0.82,0.71,"10C","002A",8.385,6.8875,0.000996527483965256,0.74875,1156.0429895625,0.00117443729364582,0.00190226489832549,0.9925,0.00725319047449375,0.0257349330897858,3.08311874888217,0.0892963625521765,0.991971716874125,0.00802828312587489
"7","002B","3.69996941251326",-0.00402093275621125,"0.99966",0.0138338961468419,"0.00100162268647246","25.3521480519481","0.658676204417536",0.974940268981866,"0.000784120873783666","1.40137367967509",56.787244025974,"1.59909733737939",0.0131348293719227,0.0149092252089643,0.975399857998208,0.974227531146794,1.33055821537577,1.51030451366808,57.8660014893617,55.1341651612903,24.9270680851064,26.0093096774194,6.19988013294401e-08,2,"CC",0.1,127,3.177,2.2163,58.72,8,0.78,1.36,0.9,1.44,0.79,0.5,0.83,1.08,NA,NA,42.82,58.72,8.69,8.72,7.43,7.34,1.08,1.12,8.75,8.64,7.11,7.36,0.7,1.11,"25C","002B",8.7,7.31,0.00117035007761242,0.695,1111.1292,0.000864615924052757,0.00199463752730106,0.96,0.0156597450593504,0.0529745778766651,3.73336973590531,0.0798850574712644,0.972936400541272,0.0270635994587278
"8","002C","3.959110572354",-0.00702763163336606,"0.99908",0.0348232253725466,"0.00257831208805856","33.945014875","0.95515530839064",0.964943849417181,"0.00145551511831202","3.52759273023897",33.70733,"1.63812314932576",0.0355175400429324,0.0337817533669678,0.964704442288477,0.965302960110236,3.59792680634906,3.42209161607384,33.0901314583333,34.6331278125,34.1528854166667,33.6332090625,1.08359120599693e-07,2,"CC",0.2,135,3.6661,2.2152,55.86,1,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,55.86,9.09,9.08,7.67,8.28,0.96,1,9.58,8.85,7.67,8.22,1.54,1.47,"35C","002C",9.15,7.96,0.000957227573585542,0.595000000000001,1169.1847125,0.00124095019759335,0.00189465357895705,0.86,0.00195649154110882,0.113201002133491,3.13677465507512,0.0650273224043716,0.967744158797987,0.0322558412020126
"9","002D","4.90047912891578",-0.0104532383817297,"0.99974",0.0533139916661709,"0.00252647738918334","39.6310614102564","0.615192262127135",0.955146750473163,"0.00116914149043427","5.40070735578311",25.4767282051282,"0.996494850456512",0.0538160376971406,0.0525528251030877,0.954958956357021,0.955431470584734,5.45156461872034,5.32360118294278,25.2458638297872,25.8267483870968,39.7421810638298,39.4625896774194,1.61178584416021e-07,2,"CC",0.15,149,4.6887,2.8855,54.52,3,0.94,1.01,0.61,NA,NA,NA,NA,NA,NA,NA,38.53,54.52,11.01,10.52,10.17,9.11,1.14,1.53,11.17,10.64,9.74,8.95,1.62,1.25,"45C","002D",10.835,9.4925,0.0013115286961554,0.671250000000001,1600.12417675,0.00112691253978955,0.00180329754523222,0.853333333333333,0.00507851210429503,0.122893677346518,2.20170152154834,0.0619520073834795,0.962677462289263,0.0373225377107367
"10","002E","4.88890839557275",-0.0270072887609107,"0.99459",0.138907576636221,"0.000905519987093393","55.3902946666667","0.118348430952882",0.910930939204759,"0.000502484080149767","14.0713375132492",12.3739866666667,"0.21484982393953",0.138639742300838,0.139309328139297,0.911184149932577,0.910551123113033,14.0442058950749,14.1120349405107,12.32908,12.4413466666667,55.3392,55.4669366666667,4.1642564843891e-07,2,"CC",0.05,103,4.6583,2.8312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.84,67.1,9.25,9.9,7.56,7.95,0.92,1,8.82,9.48,7.24,6.94,0.73,0.65,"55C","002E",9.3625,7.4225,0.00143653879394741,0.97,1470.43621484375,0.00124255644791376,0.0019254150376736,NA,NA,0.289881241072947,1.90098911508593,0.103604806408545,0.90662798971047,0.09337201028953
"11","003A","4.0364463736175",-0.00224610129985513,"0.99633",0.00827877240538112,"0.00185906483929021","10.9079157682927","0.951388683865792",0.991234361405839,"0.00116859412461461","0.838639644665107",35.6664437804878,"14.5033666226791",0.00785962300561289,0.00890114575655213,0.991395456909524,0.990995158991278,0.796179810468586,0.90168606513873,36.950507755102,33.7598033333333,10.4680733265306,11.5610151515152,3.46326578181153e-08,3,"CC",0.85,150,3.8688,2.3785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.19,66.63,8.45,9.34,7.15,8.34,1.05,0.75,8.03,9.44,7.71,6.75,0.79,0.73,"10C","003A",8.815,7.4875,0.00138991865852557,0.66375,1294.3581279375,0.00115138149777351,0.00183759034587285,NA,NA,0.0249170392854887,2.98336810276627,0.0752977878615995,0.992686036368516,0.00731396363148384
"12","003B","5.28831168179905",-0.00943571249473798,"0.99845",0.0110756880820128,"0.000845913666234689","23.3462037974684","0.296635624035504",0.977196660442318,"0.000308796327763359","1.1219672027079",60.9496330379747,"2.44650709214458",0.0104725848337675,0.0120095253696185,0.977220647427927,0.977159519303312,1.06087284366065,1.21656491994235,62.6188064583333,58.3651064516129,23.1559666666667,23.640764516129,1.45489342854417e-07,3,"CC",0,145,5.1054,3.0339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2,69.08,10.4,11.18,9.66,9.45,1.42,1.29,9.75,8.66,8.88,7.74,0.97,0.77,"25C","003B",9.9975,8.9325,0.0017965417501039,0.532499999999999,1726.1366079375,0.00120007882949378,0.00175762450436939,NA,NA,0.0809830012834399,7.14504758718267,0.0532633158289571,0.969152787834902,0.0308472121650979
"13","003C","7.51957818208358",-0.0126549415793305,"0.99922",0.0323945554538813,"0.00262898234627907","33.0523382716049","0.998766857691011",0.966277223552026,"0.00151343238179906","3.28156846747818",35.1922011111111,"1.8382218965008",0.0312280776553841,0.0340912504335135,0.966858650211112,0.965431512047901,3.16340426649041,3.45344366891492,36.000426875,34.0166,32.6333752083333,33.6617390909091,1.95126667463066e-07,3,"CC",0.25,125,7.3053,4.4703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.46,93.71,11.38,10.81,9.27,10.11,1.89,2.28,9.87,10.47,8.35,8.47,1.49,1.94,"35C","003C",10.6325,9.05,0.00252058916428609,0.791250000000001,2648.48019279688,0.00107042522262783,0.00168787367644205,NA,NA,0.0774131184200074,2.30910818454916,0.0744180578415237,0.969488536155203,0.0305114638447972
"14","003D","2.6911492495278",-0.0202219665633841,"0.99434",0.0648187090915978,"0.00921709857623157","42.25331","2.03303986846715",0.949869426166679,"0.00498082725779466","6.56613523097886",21.6640303797468,"1.80350751374708",0.0648286911340627,0.0648032530258457,0.949630885005194,0.950238780223173,6.56714641188055,6.56456953151817,21.9171125,21.2721612903226,42.3003058333333,42.1805422580645,3.11802699390371e-07,3,"CC",0,115,2.4959,1.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.15,58.69,7.56,8.26,5.9,6.89,1.69,1.95,7,7.33,6.25,5.95,0.87,1.01,"45C","003D",7.5375,6.2475,0.00104546116675702,0.645,833.602039453125,0.00133097083199062,0.00166314372372401,NA,NA,0.298244171380914,4.3705439972094,0.0855721393034826,0.887156376746282,0.112843623253718
"15","003E","3.32329533253868",-0.0336007808699037,"0.99865",0.138138209931915,"0.00100779283052591","55.2075241333333","0.111420796812868",0.911925667923552,"0.000485943655012271","13.993400666103",12.0945986666667,"0.34730217915649",0.137918289128569,0.138468091136933,0.911808851254186,0.912100892927602,13.9711226887241,14.0268176321713,12.23858,11.8786266666667,55.20841,55.2061953333333,5.18090767484042e-07,3,"CC",0.8,131,3.1561,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9,62.42,7.65,8.17,7.22,6.61,0.7,0.85,8.2,7.7,7.2,7.01,0.68,0.58,"55C","003E",7.93,7.01,0.00129297586365999,0.46,981.3188645,0.0013105831820071,0.00190559874842801,NA,NA,0.400696395072293,2.64521545408008,0.0580075662042875,0.837104424228287,0.162895575771713
"16","004A","4.49220969190676",-0.00379494404317775,"0.99339",0.00834941542211485,"0.00169361522526458","10.2978102758621","0.541214853351981",0.991798204759031,"0.00101737122091913","0.845795782260235",32.3754905747126,"14.0840731453639",0.00816606661180191,0.00862181936886552,0.991951479288904,0.991570482600363,0.827222547775533,0.873390302066077,32.4972540384615,32.1945848571429,10.0015018076923,10.73804,5.85142791621851e-08,4,"LS",0.05,96,4.294,2.0829,55.28,8,1.28,1.27,1.26,1.03,0.68,0.66,0.71,0.41,NA,NA,41.13,55.28,10.47,9.46,7.99,8.87,2.15,1.97,10.59,9.45,7.7,8.94,1.85,2.57,"10C","004A",9.9925,8.375,0.00129116795562767,0.80875,1379.927777375,0.00160233023514181,0.00150942682229518,0.9125,0.0144826420104514,0.0453188749822559,5.38327254984225,0.0809357017763322,0.98995974854145,0.0100402514585499
"17","004B","3.06782388002153",-0.00588134129771569,"0.99751",0.0137383110758089,"0.00101031401360686","25.2672380952381","0.691584262767142",0.975051306102579,"0.000837879171172933","1.39169091197944",56.8724342857143,"1.55695266367233",0.0130097320810499,0.0148642967949819,0.97558026557559,0.974233823280652,1.31788585981035,1.50575326533167,57.9341247058824,55.23164,24.7965705882353,25.9946333333333,9.06844587501352e-08,4,"LS",0.05,84,2.866,1.5219,51.65,7,1.27,1.44,1.07,0.91,0.96,0.67,1.13,NA,NA,NA,35.01,51.65,9.21,8.24,6.84,7.59,1.67,1.14,8.48,8.66,6.97,7.37,1.25,1.27,"25C","004B",8.6475,7.1925,0.00095111395574184,0.7275,965.587146328125,0.00139200278826335,0.0015761394564824,1.06428571428571,0.0156724590396085,0.0953455242693859,6.76697284381632,0.0841283607979185,0.96838032884458,0.03161967115542
"18","004C","3.47886647373786",-0.0105896347111144,"0.99882",0.0347287913933157,"0.00259499309954177","33.9051938554217","0.970364823505649",0.96501082852737,"0.00149088297713332","3.51802656814288",33.7429373493976,"1.62045488608426",0.0353413846849909,0.0338006197392623,0.9648244907401,0.965293158508083,3.58008226858958,3.42400277958727,33.1656762,34.6175754545455,34.079718,33.6407633333333,1.6328168074722e-07,4,"LS",0.3,41,3.2507,1.5206,66.46,10,1.61,0.99,0.67,0.98,1.48,1.09,0.52,0.85,1.2,0.35,48.13,66.46,7.88,8.45,6.21,6.25,2.24,2.91,7.53,6.96,5.76,5.87,1.42,2.15,"35C","004C",7.705,6.0225,0.00116503340328512,0.84125,986.383120375,0.00175398378607924,0.00154159166817646,0.974,0.0195284160911805,0.140151930654352,3.89440937315482,0.109182349123945,0.957863707300156,0.0421362926998441
