,segment,int,slope,R2,D,D_sd,Tc,Tc_sd,mols_per_sec,TreeID,sp,lichen,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2,treatment,sampleID,diam,wood_diam,sa,bark_thickness,vol,water_content,density,lenticel_size,LD,E,gs,bark_thickness_ratio
1,004A,5.397620819,-0.004213707,0.99331,0.006610315,0.00134446,6.196067382,1.328333512,6.50E-08,4,LS,0.05,108,5.1941,2.4618,31.9,10,0.8,1.3,0.4,1.5,0.6,0.7,0.7,0.5,1,0.9,55.9,72.2,9.4,9.3,7.8,8,1.6,1.6,9.4,9.3,7.8,8.1,1.7,1.6,10C,004A,9.35,7.925,0.001642001,0.7125,1577.976125,0.001731522,0.0015601,0.84,0.033527232,0.039568311,5.985843799,0.076203209
2,004B,3.883028841,-0.003990583,0.99964,0.014088657,0.000613206,24.36030875,0.113415749,6.15E-08,4,LS,0.3,77,3.6886,1.8666,46.4,15,0.6,0.8,0.8,1.1,1.1,1.1,0.5,0.5,0.8,0.7,46.4,59.5,8.8,8.8,7.7,7.2,2.1,2.1,8.4,8.8,7.3,7.4,1.4,1.9,25C,004B,8.7,7.4,0.001268198,0.65,1125.88875,0.001618277,0.00165789,0.8,0.037158145,0.048518315,3.443785775,0.074712644
3,004C,3.306607809,-0.007188086,0.99976,0.031759444,0.001099815,32.34993944,0.270981162,1.11E-07,4,LS,0.25,57,3.1012,1.4875,25,10,0.7,0.8,1.3,0.8,1.3,1.2,0.7,0.6,0.8,0.8,52.7,66.7,8.9,8.3,6.7,6.6,2.7,2.1,7.3,7.3,5.8,6.3,1.5,1,35C,004C,7.95,6.35,0.001316217,0.8,1053.901688,0.001531167,0.001411422,0.9,0.050314465,0.084205827,2.651363427,0.100628931
4,004D,2.663199643,-0.019291467,0.99798,0.06059346,0.002441001,41.096095,0.602209913,2.97E-07,4,LS,0,66.8,2.4936,1.0895,22.6,17,0.7,0.6,0.6,0.6,0.5,0.7,0.8,0.7,0.6,0.8,43.8,56.1,7.7,7.2,6.1,6.6,1.6,1.6,7.5,7.5,6.4,6.7,2.4,1.8,45C,004D,7.475,6.45,0.001028573,0.5125,783.6556406,0.001791731,0.001390279,0.66,0.10063042,0.289192182,4.772663267,0.068561873
5,004E,2.092208426,-0.061272203,0.99359,0.139899261,0.001011286,55.22883079,0.085915413,9.45E-07,4,LS,0,70,1.9104,1.0238,43.3,10,0.7,0.6,0.6,0.7,0.5,1.2,1,0.6,1.1,0.7,43.3,54.1,6.6,6.6,5.8,5.9,1.3,1.5,6.4,6.7,5.4,5.6,1,1.2,55C,004E,6.575,5.675,0.000894404,0.45,584.6942031,0.001516348,0.001751001,0.77,0.035125001,1.056297991,7.550418653,0.068441065
6,016A,4.387531988,-0.004347847,0.99214,0.006578056,0.001367337,6.198242318,1.359553404,6.70E-08,16,PE,0.05,62,4.1543,2.0628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,70.3,8.8,8.9,6.6,6.4,0.7,0.6,7.7,8.6,6,6.5,0.7,0.8,10C,016A,8.5,6.375,0.00143131,1.0625,1269.79375,0.001647118,0.001624516,NA,NA,0.046837875,7.120322097,0.125
7,016B,4.11342627,-0.005417053,0.99781,0.01415459,0.000554936,24.37312632,0.101037431,8.35E-08,16,PE,0.1,84.5,3.9478,2.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,68.2,8.2,8.8,7,6.8,1.3,1.1,8.4,8.2,6.7,6.9,1,1,25C,016B,8.4,6.85,0.001438221,0.775,1203.048,0.00160908,0.001672419,NA,NA,0.058075625,4.102953516,0.092261905
8,016C,3.73297939,-0.009162315,0.99885,0.031792918,0.001123085,32.34609779,0.278456507,1.41E-07,16,PE,0,43,3.5779,1.7329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,66.8,8.3,8,5.8,6.1,0.6,1.1,7.9,7.7,6,6,0.6,0.9,35C,016C,7.975,5.975,0.001277764,1,1062.130438,0.001737075,0.001631532,NA,NA,0.110563292,3.477607532,0.12539185
9,016D,3.642044902,-0.01741456,0.99894,0.060433408,0.00238763,41.04625576,0.572284079,2.69E-07,16,PE,0.1,58,3.4805,1.7329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,73.8,7.6,7.5,6.4,6,0.6,0.6,7.1,7.5,6.4,5.9,0.9,0.7,45C,016D,7.425,6.175,0.001308607,0.625,1017.160031,0.001718117,0.001703665,NA,NA,0.205191703,3.395335633,0.084175084
10,016E,5.028868001,-0.06244584,0.99712,0.13992642,0.001021566,55.22987358,0.087438875,9.63E-07,16,PE,0.3,52,4.9099,2.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,73.3,8.7,9.1,6.3,6.6,1,0.6,9,8.1,6.3,6.5,0.8,0.7,55C,016E,8.725,6.425,0.001589803,1.15,1395.002078,0.001738994,0.001780643,NA,NA,0.605642987,4.32829616,0.131805158
11,017A,5.508522234,-0.003209225,0.98975,0.006624522,0.001340211,6.207346611,1.315236074,4.95E-08,17,PE,0.1,52.9,5.3075,2.4332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,71.2,9.1,9.3,8.1,7.8,1.3,1.7,8.8,8.6,7.2,6.9,1.1,1,10C,017A,8.95,7.5,0.001642048,0.725,1425.8245,0.002015886,0.001706521,NA,NA,0.030134976,4.549003917,0.081005587
