"","segment","int","slope","R2","D","D_sd","Tc","Tc_sd","mols_per_sec","TreeID","sp","lichen","apex_dist","fresh_mass","dry_mass","length_counted_lenticel","n_lenticels","lenticel_diam1","lenticel_diam2","lenticel_diam3","lenticel_diam4","lenticel_diam5","lenticel_diam6","lenticel_diam7","lenticel_diam8","lenticel_diam9","lenticel_diam10","exposed_length","total_length","basal_diam1","basal_diam2","basal_xylem_diam1","basal_xylem_diam2","basal_pith_diam1","basal_pith_diam2","distal_diam1","distal_diam2","distal_xylem_diam1","distal_xylem_diam2","distal_pith_diam1","distal_pith_diam2","treatment","sampleID","diam","wood_diam","sa","bark_thickness","vol","water_content","density","lenticel_size","LD","E","gs","bark_thickness_ratio"
"1","001A","3.0955301035549",-0.00108131762958855,"0.99149",0.0811908529185427,"0.0167281629722266","10.781772375","0.929781452847375",1.66728470619964e-08,1,"CC",0.2,87,2.7745,1.7358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.28,57.85,8.28,8.04,7.1,6.53,1.05,1.1,7.47,7.82,6.42,6.64,0.83,1.34,"10C","001A",7.9025,6.6725,0.000776570916359392,0.615,903.175984140625,0.00115005272310061,0.00192188458338119,NA,NA,0.0214698319377702,0.264436585723647,0.0778234735843088
"2","001B","4.12024193690311",-0.00397074988954408,"0.99129",0.125667364612147,"0.00639933649351678","23.9111127272727","0.249964011027603",6.12250312195487e-08,1,"CC",0.85,77.5,3.9325,2.3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.18,63.24,9.88,10.15,8.58,8.72,0.89,0.83,8.61,8.65,7.29,7.49,0.97,0.9,"25C","001B",9.3225,8.02,0.00129392164012835,0.65125,1374.0313888125,0.00112304566879918,0.00173897046272358,NA,NA,0.0473174180883746,0.376529087201061,0.0698578707428265
"3","001C","3.77013387376858",-0.00467022878285366,"0.99918",0.305399222905769,"0.00481449308100404","32.197085462963","0.14322580882253",7.20103030879845e-08,1,"CC",0.7,99.8,3.2246,2.2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.28,61.59,8.06,8.48,7.19,6.78,1.69,1.63,7.92,8.14,6.6,6.59,1.08,0.79,"35C","001C",8.15,6.79,0.00100572433937901,0.68,1022.74044375,0.000964956461857921,0.0021879451562463,NA,NA,0.0716004378818631,0.234448657729412,0.0834355828220859
"4","001D","4.21560803303249",-0.00903098686911634,"0.99412",0.568941777249928,"0.0533670098495839","40.2791234285714","1.30742878451064",1.39248874491178e-07,1,"CC",0.65,83,3.8784,2.4566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.99,93.55,7.21,7.5,5.85,5.94,1.34,1.08,7.14,6.87,5.76,6.1,0.66,0.8,"45C","001D",7.18,5.9125,0.00112760619628621,0.63375,1205.681755,0.00117924982616993,0.00203751942816784,NA,NA,0.123490696441538,0.217053310865043,0.088266016713092
"5","001E","4.45861757544006",-0.0178930733156324,"0.99932",1.3846110621155,"0.00701549189186607","55.1183103896104","0.0935732974512433",2.75893471721296e-07,1,"CC",0.9,102,4.1748,2.6878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.45,71.77,9.26,9.17,7.57,7.19,1.47,1.18,7.95,8.08,6.49,6.77,0.8,0.78,"55C","001E",8.615,7.005,0.0011489016391682,0.805,1331.6605020625,0.00111665097650408,0.00201838230978323,NA,NA,0.240136720425468,0.173432617285732,0.0934416715031921
"6","002A","3.8114155207854",-0.00166324352571546,"0.9912",0.0826512009627385,"0.0174520434985176","10.357099975","0.52368263784225",2.56455681219785e-08,2,"CC",0.1,71,3.5568,2.1991,65.77,4,0.78,0.63,1.13,1.43,NA,NA,NA,NA,NA,NA,37.83,65.77,9.3,8.84,7.47,7.18,1.47,1.35,7.89,7.51,6.31,6.59,0.82,0.71,"10C","002A",8.385,6.8875,0.000996527483965256,0.74875,1156.0429895625,0.00117443729364582,0.00190226489832549,0.9925,0.00725319047449375,0.0257349330897858,0.311367926781704,0.0892963625521765
"7","002B","3.69996941251326",-0.00402093275621125,"0.99966",0.13813152431331,"0.0100014338697016","25.3521480519481","0.658676204417536",6.19988013294401e-08,2,"CC",0.1,127,3.177,2.2163,58.72,8,0.78,1.36,0.9,1.44,0.79,0.5,0.83,1.08,NA,NA,42.82,58.72,8.69,8.72,7.43,7.34,1.08,1.12,8.75,8.64,7.11,7.36,0.7,1.11,"25C","002B",8.7,7.31,0.00117035007761242,0.695,1111.1292,0.000864615924052757,0.00199463752730106,0.96,0.0156597450593504,0.0529745778766651,0.383508240714901,0.0798850574712644
"8","002C","3.959110572354",-0.00702763163336606,"0.99908",0.347717679365086,"0.02574576923646","33.945014875","0.95515530839064",1.08359120599693e-07,2,"CC",0.2,135,3.6661,2.2152,55.86,1,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,55.86,9.09,9.08,7.67,8.28,0.96,1,9.58,8.85,7.67,8.22,1.54,1.47,"35C","002C",9.15,7.96,0.000957227573585542,0.595000000000001,1169.1847125,0.00124095019759335,0.00189465357895705,0.86,0.00195649154110882,0.113201002133491,0.325554347251453,0.0650273224043716
"9","002D","4.90047912891578",-0.0104532383817297,"0.99974",0.53235932765364,"0.0252286177349792","39.6310614102564","0.615192262127135",1.61178584416021e-07,2,"CC",0.15,149,4.6887,2.8855,54.52,3,0.94,1.01,0.61,NA,NA,NA,NA,NA,NA,NA,38.53,54.52,11.01,10.52,10.17,9.11,1.14,1.53,11.17,10.64,9.74,8.95,1.62,1.25,"45C","002D",10.835,9.4925,0.0013115286961554,0.671250000000001,1600.12417675,0.00112691253978955,0.00180329754523222,0.853333333333333,0.00507851210429503,0.122893677346518,0.230847232240991,0.0619520073834795
"10","002E","4.88890839557275",-0.0270072887609107,"0.99459",1.38709049570828,"0.00904257685656114","55.3902946666667","0.118348430952882",4.1642564843891e-07,2,"CC",0.05,103,4.6583,2.8312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.84,67.1,9.25,9.9,7.56,7.95,0.92,1,8.82,9.48,7.24,6.94,0.73,0.65,"55C","002E",9.3625,7.4225,0.00143653879394741,0.97,1470.43621484375,0.00124255644791376,0.0019254150376736,NA,NA,0.289881241072947,0.208985096480621,0.103604806408545
