,segment,int,slope,R2,Tac,Tac_sd,RH,RH_sd,mols_per_sec,TreeID,sp,lichen,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2,treatment,sampleID,diam,wood_diam,sa,bark_thickness,vol,water_content,density,lenticel_size,LD,bark_thickness_ratio,E,deltaT,Tsc,wi,w0,deltaw,gbark,gbark_org,deltags%
1,001A,3.095530104,-0.001081318,0.99149,10.78177238,0.929781453,36.20395527,13.51862577,1.67E-08,1,CC,0.2,87,2.7745,1.7358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.28,57.85,8.28,8.04,7.1,6.53,1.05,1.1,7.47,7.82,6.42,6.64,0.83,1.34,10C,001A,7.9025,6.6725,0.000776571,0.615,903.1759841,0.001150053,0.001921885,NA,NA,0.077823474,0.021469832,0.015217012,10.76655536,0.012762427,0.004625188,0.008137239,2.638466325,2.632031801,0.244469843
2,002A,3.811415521,-0.001663244,0.9912,10.35709998,0.523682638,33.24464975,14.35812406,2.56E-08,2,CC,0.1,71,3.5568,2.1991,65.77,4,0.78,0.63,1.13,1.43,NA,NA,NA,NA,NA,NA,37.83,65.77,9.3,8.84,7.47,7.18,1.47,1.35,7.89,7.51,6.31,6.59,0.82,0.71,10C,002A,8.385,6.8875,0.000996527,0.74875,1156.04299,0.001174437,0.001902265,0.9925,0.00725319,0.089296363,0.025734933,0.018788541,10.33831143,0.012402995,0.004128512,0.008274483,3.110156105,3.09909473,0.356922778
3,003A,4.036446374,-0.002246101,0.99633,10.90791577,0.951388684,35.66644378,14.50336662,3.46E-08,3,CC,0.85,150,3.8688,2.3785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.19,66.63,8.45,9.34,7.15,8.34,1.05,0.75,8.03,9.44,7.71,6.75,0.79,0.73,10C,003A,8.815,7.4875,0.001389919,0.66375,1294.358128,0.001151381,0.00183759,NA,NA,0.075297788,0.024917039,0.018652028,10.88926374,0.012867094,0.004594933,0.008272161,3.012155827,3.00035204,0.393413401
4,004A,4.492209692,-0.003794944,0.99339,10.29781028,0.541214853,32.37549057,14.08407315,5.85E-08,4,LS,0.05,96,4.294,2.0829,55.28,8,1.28,1.27,1.26,1.03,0.68,0.66,0.71,0.41,NA,NA,41.13,55.28,10.47,9.46,7.99,8.87,2.15,1.97,10.59,9.45,7.7,8.94,1.85,2.57,10C,004A,9.9925,8.375,0.001291168,0.80875,1379.927777,0.00160233,0.001509427,0.9125,0.014482642,0.080935702,0.045318875,0.036118913,10.26169136,0.012339635,0.004004676,0.008334959,5.43720414,5.410691448,0.490005617
5,005A,4.890613707,-0.006521032,0.99797,11.03068969,0.79944533,36.20107679,14.66426214,1.01E-07,5,MG,0.05,92,4.6885,2.612,34.79,20,0.77,1.12,0.94,0.97,0.92,0.76,0.76,0.94,0.95,1.32,59.27,71.74,9.31,9.54,7.46,7.85,2.86,3.62,9.9,9.39,7.69,8.03,3.29,2.84,10C,005A,9.535,7.7575,0.001775438,0.88875,1630.582495,0.001273471,0.001601882,0.945,0.060291331,0.093209229,0.056632706,0.044090613,10.98659908,0.012950656,0.004702036,0.00824862,6.865719299,6.816082724,0.728227297
6,006A,2.99883041,-0.005144138,0.99059,10.84909386,0.504535795,31.86815423,15.65434487,7.93E-08,6,MG,0,52,2.8853,1.5558,28.24,15,0.76,1.32,1.01,1.3,1.23,1.37,1.26,0.82,0.9,0.94,61.47,79.11,7.44,7.39,6.46,6.11,3.78,2.62,7.24,6.87,5.94,5.91,2.7,3.29,10C,006A,7.235,6.105,0.001397178,0.565,1035.257687,0.001284221,0.001502814,1.091,0.073415546,0.078092605,0.05676981,0.038499508,10.81059435,0.012799905,0.00408956,0.008710345,6.517515733,6.480745694,0.567373582
7,007A,2.031533317,-0.007450809,0.99571,10.85644679,0.882710638,36.58835131,13.70778586,1.15E-07,7,TD,0.2,67.8,1.9653,0.9614,55.82,13,1.6,1.89,1.49,1.34,1.23,1.24,1.2,1.73,1.28,1.4,40.53,55.82,7.13,7.26,6.02,6.09,0.71,0.59,6.63,6.97,5.55,5.12,0.94,0.84,10C,007A,6.9975,5.695,0.000890983,0.65125,683.3066622,0.001469179,0.001406982,1.44,0.033282092,0.093068953,0.128940852,0.085996438,10.77045035,0.012765738,0.004697589,0.008068149,15.98146632,15.81946581,1.02405803
8,008A,3.077048223,-0.006083378,0.99778,11.21274917,0.585695029,35.93131924,16.27166364,9.38E-08,8,MG,0,38,2.9115,1.4639,71.67,26,1.18,1.02,0.86,0.84,0.72,0.88,1.03,1.42,1.32,0.95,59.76,71.67,7.97,7.37,5.92,5.64,2.96,2.68,6.74,7.29,5.13,5.62,3.33,3.03,10C,008A,7.3425,5.5775,0.001378493,0.8825,965.9737472,0.001498591,0.001515466,1.022,0.049407399,0.120190671,0.068045099,0.046487619,11.16626155,0.01310615,0.004723765,0.008382385,8.117630116,8.066932951,0.628456506
9,009A,3.289522469,-0.003647685,0.99593,11.24009543,0.601388292,37.05731532,16.42416366,5.62E-08,9,TD,0.2,86,3.1465,1.5351,30.69,10,0.99,0.73,1.35,1.24,1.02,0.89,1.3,1.19,1.17,1.29,43.7,60.56,8.82,8.63,7.11,7.03,1.84,2,7.63,7.69,6.44,6.48,1.67,1.75,10C,009A,8.1925,6.765,0.001124729,0.71375,1016.152232,0.001585786,0.001510699,1.117,0.039772845,0.087122368,0.050006451,0.036087162,11.20400827,0.013139027,0.004880643,0.008258383,6.055234842,6.022082772,0.550508375
10,010A,2.280379358,-0.003426539,0.99546,10.88005432,0.496709549,31.03533867,15.32637035,5.28E-08,10,TD,0.15,67,2.1287,1.1744,35.8,13,1.59,0.93,2.19,1.04,1.23,1.4,1.34,0.91,0.77,1.07,56.12,72.45,6.86,6.62,5.94,5.4,0.61,0.69,6.51,6.57,5.15,5.42,1.12,1.16,10C,010A,6.64,5.4775,0.001170673,0.58125,798.57288,0.001195007,0.001470623,1.247,0.054688026,0.087537651,0.045131171,0.029321022,10.8507333,0.012834148,0.0039909,0.008843248,5.103461193,5.077192466,0.517386866
