"","segment","TreeID","sp","lichen","apex_dist","fresh_mass","dry_mass","length_counted_lenticel","n_lenticels","lenticel_diam1","lenticel_diam2","lenticel_diam3","lenticel_diam4","lenticel_diam5","lenticel_diam6","lenticel_diam7","lenticel_diam8","lenticel_diam9","lenticel_diam10","exposed_length","total_length","basal_diam1","basal_diam2","basal_xylem_diam1","basal_xylem_diam2","basal_pith_diam1","basal_pith_diam2","distal_diam1","distal_diam2","distal_xylem_diam1","distal_xylem_diam2","distal_pith_diam1","distal_pith_diam2","treatment","sampleID","diam","wood_diam","sa","bark_thickness","vol","water_content","density","lenticel_size","LD","d_basal_mm","d_distal_mm","r_basal_cm","r_distal_cm","L_cm","V_cm3","rho_g_cm3","end_mass_sample","Tc","RH","sat_mass_g","RWC_end_sat","deficit_end","CWR_end","psi_end","RH_instem","svp_kPa","ws","wa","w_instem","D_100","D_unsat","mf_unsat"
"1","001A",1,"CC",0.2,87,2.7745,1.7358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.28,57.85,8.28,8.04,7.1,6.53,1.05,1.1,7.47,7.82,6.42,6.64,0.83,1.34,"10C","001A",7.9025,6.6725,0.000776570916359392,0.615,903.175984140625,0.00115005272310061,0.00192188458338119,NA,NA,8.16,7.645,0.408,0.38225,5.785,2.83841525110269,0.611538427763754,2.768,10.781772375,36.2039552678571,3.44707239395983,0.603176913063805,0.396823086936195,239.243498179494,-1.23833763163183,99.0594508768069,1.29414457733071,0.0127753660151106,0.00462518779741567,0.0126552074220708,0.00815017821769496,0.00803001962465513,0.991359802390257
"2","001B",1,"CC",0.85,77.5,3.9325,2.3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.18,63.24,9.88,10.15,8.58,8.72,0.89,0.83,8.61,8.65,7.29,7.49,0.97,0.9,"25C","001B",9.3225,8.02,0.00129392164012835,0.65125,1374.0313888125,0.00112304566879918,0.00173897046272358,NA,NA,10.015,8.63,0.50075,0.4315,6.324,4.32458654286088,0.552515246560269,3.896,23.9111127272727,57.095972,5.16242810130244,0.543304988251788,0.456695011748212,292.843740956713,-1.92703012846742,98.6042714188955,2.96992774205252,0.0293181415799854,0.0167394779074288,0.0289089398985049,0.0125786636725566,0.012169461991076,0.977175791097033
"3","001C",1,"CC",0.7,99.8,3.2246,2.2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.28,61.59,8.06,8.48,7.19,6.78,1.69,1.63,7.92,8.14,6.6,6.59,1.08,0.79,"35C","001C",8.15,6.79,0.00100572433937901,0.68,1022.74044375,0.000964956461857921,0.0021879451562463,NA,NA,8.27,8.03,0.4135,0.4015,6.159,3.21326605344401,0.696394248960995,3.1833,32.197085462963,35.6277805555556,3.99791410539206,0.537207375570589,0.462792624429411,253.515921757848,-1.39127416553637,99.0176103969303,4.812779545973,0.0475101633363573,0.0169268167350634,0.0470434284313395,0.0305833466012939,0.0301166116962761,0.968014877416799
"4","001D",1,"CC",0.65,83,3.8784,2.4566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.99,93.55,7.21,7.5,5.85,5.94,1.34,1.08,7.14,6.87,5.76,6.1,0.66,0.8,"45C","001D",7.18,5.9125,0.00112760619628621,0.63375,1205.681755,0.00117924982616993,0.00203751942816784,NA,NA,7.355,7.005,0.36775,0.35025,9.355,3.78851099114006,0.648434175259115,3.8036,40.2791234285714,23.2507466666667,4.64991618594526,0.614138539911189,0.385861460088811,223.390188895976,-1.08762762073798,99.2509409579218,7.49521149143157,0.0739902417712889,0.0172032836722966,0.0734360111750456,0.0567869580989923,0.056232727502749,0.954680352576329
"5","001E",1,"CC",0.9,102,4.1748,2.6878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.45,71.77,9.26,9.17,7.57,7.19,1.47,1.18,7.95,8.08,6.49,6.77,0.8,0.78,"55C","001E",8.615,7.005,0.0011489016391682,0.805,1331.6605020625,0.00111665097650408,0.00201838230978323,NA,NA,9.215,8.015,0.46075,0.40075,7.177,4.19029901349769,0.641433938566704,4.0612,55.1183103896104,11.3848987012987,5.13277433817302,0.561723687057698,0.438276312942302,255.727415805241,-1.41663604075247,99.0693051756413,15.8506235692917,0.156472098413541,0.0178141899001781,0.155015820692041,0.138657908513363,0.137201630791863,0.913584994703891
"6","002A",2,"CC",0.1,71,3.5568,2.1991,65.77,4,0.78,0.63,1.13,1.43,NA,NA,NA,NA,NA,NA,37.83,65.77,9.3,8.84,7.47,7.18,1.47,1.35,7.89,7.51,6.31,6.59,0.82,0.71,"10C","002A",8.385,6.8875,0.000996527483965256,0.74875,1156.0429895625,0.00117443729364582,0.00190226489832549,0.9925,0.00725319047449375,9.07,7.7,0.4535,0.385,6.577,3.63989553536629,0.604165690644937,3.5459,10.357099975,33.24464975,4.41100852237928,0.608885940071015,0.391114059928985,237.673997501751,-1.22257382975231,99.0699835886635,1.25800165494672,0.0124185750735116,0.00412851178712973,0.0123030802872738,0.00829006328638185,0.00817456850014405,0.991784203962798
"7","002B",2,"CC",0.1,127,3.177,2.2163,58.72,8,0.78,1.36,0.9,1.44,0.79,0.5,0.83,1.08,NA,NA,42.82,58.72,8.69,8.72,7.43,7.34,1.08,1.12,8.75,8.64,7.11,7.36,0.7,1.11,"25C","002B",8.7,7.31,0.00117035007761242,0.695,1111.1292,0.000864615924052757,0.00199463752730106,0.96,0.0156597450593504,8.705,8.695,0.43525,0.43475,5.872,3.49071571623061,0.634912774390358,3.151,25.3521480519481,56.787244025974,4.26785987207476,0.455604543997407,0.544395456002593,319.951540849275,-2.44025088391236,98.2442883834361,3.23710695508034,0.0319556461508424,0.0181467307597556,0.031394597159224,0.0138089153910868,0.0132478663994684,0.97522933604051
"8","002C",2,"CC",0.2,135,3.6661,2.2152,55.86,1,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,55.86,9.09,9.08,7.67,8.28,0.96,1,9.58,8.85,7.67,8.22,1.54,1.47,"35C","002C",9.15,7.96,0.000957227573585542,0.595000000000001,1169.1847125,0.00124095019759335,0.00189465357895705,0.86,0.00195649154110882,9.085,9.215,0.45425,0.46075,5.586,3.67316389036031,0.603076820452655,3.6193,33.945014875,33.70733,4.44992233191875,0.628310721177798,0.371689278822202,226.132662933609,-1.11240558548421,99.2182029652655,5.30862511916694,0.052404986368874,0.0176643216918114,0.0519952857393891,0.0347406646770626,0.0343309640475778,0.9651701962844
"9","002D",2,"CC",0.15,149,4.6887,2.8855,54.52,3,0.94,1.01,0.61,NA,NA,NA,NA,NA,NA,NA,38.53,54.52,11.01,10.52,10.17,9.11,1.14,1.53,11.17,10.64,9.74,8.95,1.62,1.25,"45C","002D",10.835,9.4925,0.0013115286961554,0.671250000000001,1600.12417675,0.00112691253978955,0.00180329754523222,0.853333333333333,0.00507851210429503,10.765,10.905,0.53825,0.54525,5.452,5.02700829769207,0.573999450393736,4.6214,39.6310614102564,25.4767282051282,6.03880699899077,0.550501426139473,0.449498573860527,281.958356750975,-1.75850592071161,98.7892132328017,7.2405971233047,0.0714767731816851,0.0182099432332939,0.0706113418703809,0.0532668299483912,0.052401398637087,0.955589357448163
"10","002E",2,"CC",0.05,103,4.6583,2.8312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.84,67.1,9.25,9.9,7.56,7.95,0.92,1,8.82,9.48,7.24,6.94,0.73,0.65,"55C","002E",9.3625,7.4225,0.00143653879394741,0.97,1470.43621484375,0.00124255644791376,0.0019254150376736,NA,NA,9.575,9.15,0.47875,0.4575,6.71,4.62030485817992,0.612773417967769,4.4877,55.3902946666667,12.3739866666667,5.61306329973836,0.595464198458563,0.404535801541437,243.569057514893,-1.28282042592154,99.1575420611992,16.0581484758459,0.158520715457511,0.0196153321946171,0.157185245105495,0.138905383262894,0.137569912910878,0.911599711349944
