tag,collection_date,Round,measurement_date,sp,treatment,segment_location,segment,mass_w_parafilm,hour,minute
20,2024.03.01,1,2024.03.02,PE,10C,A,020A,6.4164,10,41
20,2024.03.01,1,2024.03.02,LS,25C,B,020B,4.4954,10,52
20,2024.03.01,1,2024.03.02,PE,55C,E,020E,4.1894,11,24
18,2024.03.01,1,2024.03.02,PE,55C,E,018E,4.9277,11,32
18,2024.03.01,1,2024.03.02,PE,10C,A,018A,4.3786,11,40
18,2024.03.01,1,2024.03.02,PE,25C,B,018B,2.128,11,45
20,2024.03.01,1,2024.03.02,PE,35C,C,020C,4.8377,11,4
20,2024.03.01,1,2024.03.02,PE,45C,D,020D,4.3967,11,17
18,2024.03.01,1,2024.03.02,PE,35C,C,018C,4.9638,11,53
18,2024.03.01,1,2024.03.02,PE,45C,D,018D,3.3464,11,57
19,2024.03.01,1,2024.03.02,PE,55C,E,019E,3.633,12,37
21,2024.03.01,1,2024.03.02,LS,55C,E,021E,2.5654,12,45
21,2024.03.01,1,2024.03.02,LS,10C,A,021A,2.1558,12,50
21,2024.03.01,1,2024.03.02,LS,25C,B,021B,3.862,12,58
19,2024.03.01,1,2024.03.02,PE,10C,A,019A,3.7473,12,6
19,2024.03.01,1,2024.03.02,PE,25C,B,019B,5.0627,12,13
19,2024.03.01,1,2024.03.02,PE,35C,C,019C,4.5052,12,24
19,2024.03.01,1,2024.03.02,PE,45C,D,019D,4.3093,12,31
22,2024.03.01,1,2024.03.02,LS,55C,E,022E,3.8202,13,53
22,2024.03.01,1,2024.03.02,LS,10C,A,022A,2.4657,13,17
22,2024.03.01,1,2024.03.02,LS,25C,B,022B,5.1568,13,24
22,2024.03.01,1,2024.03.02,LS,35C,C,022C,2.7214,13,35
22,2024.03.01,1,2024.03.02,LS,45C,D,022D,3.3317,13,43
21,2024.03.01,1,2024.03.02,LS,35C,C,021C,2.7795,13,4
21,2024.03.01,1,2024.03.02,LS,45C,D,021D,4.6814,13,10
19,2024.03.01,1,2024.03.02,PE,55C,E,019E,3.5549,14,48
21,2024.03.01,1,2024.03.02,LS,55C,E,021E,2.5389,14,47
20,2024.03.01,1,2024.03.02,PE,55C,E,020E,4.0769,14,47
18,2024.03.01,1,2024.03.02,PE,55C,E,018E,4.8332,14,48
22,2024.03.01,1,2024.03.02,LS,55C,E,022E,3.7612,14,46
22,2024.03.01,1,2024.03.02,LS,10C,A,022A,2.4665,14,31
22,2024.03.01,1,2024.03.02,LS,25C,B,022B,5.1505,14,35
21,2024.03.01,1,2024.03.02,LS,10C,A,021A,2.1553,14,32
21,2024.03.01,1,2024.03.02,LS,25C,B,021B,3.8541,14,36
20,2024.03.01,1,2024.03.02,PE,10C,A,020A,6.3819,14,33
20,2024.03.01,1,2024.03.02,LS,25C,B,020B,4.4671,14,36
19,2024.03.01,1,2024.03.02,PE,10C,A,019A,3.737,14,34
19,2024.03.01,1,2024.03.02,PE,25C,B,019B,5.0489,14,36
18,2024.03.01,1,2024.03.02,PE,10C,A,018A,4.3583,14,34
18,2024.03.01,1,2024.03.02,PE,25C,B,018B,2.1126,14,37
22,2024.03.01,1,2024.03.02,LS,35C,C,022C,2.7186,14,39
22,2024.03.01,1,2024.03.02,LS,45C,D,022D,3.3127,14,43
21,2024.03.01,1,2024.03.02,LS,35C,C,021C,2.7678,14,39
21,2024.03.01,1,2024.03.02,LS,45C,D,021D,4.6562,14,44
20,2024.03.01,1,2024.03.02,PE,35C,C,020C,4.7927,14,40
20,2024.03.01,1,2024.03.02,PE,45C,D,020D,4.3527,14,45
19,2024.03.01,1,2024.03.02,PE,35C,C,019C,4.4794,14,40
19,2024.03.01,1,2024.03.02,PE,45C,D,019D,4.2773,14,43
18,2024.03.01,1,2024.03.02,PE,35C,C,018C,4.9358,14,41
18,2024.03.01,1,2024.03.02,PE,45C,D,018D,3.2979,14,42
19,2024.03.01,1,2024.03.02,PE,55C,E,019E,3.5188,15,23
21,2024.03.01,1,2024.03.02,LS,55C,E,021E,2.5227,15,22
20,2024.03.01,1,2024.03.02,PE,55C,E,020E,4.0282,15,22
18,2024.03.01,1,2024.03.02,PE,55C,E,018E,4.8003,15,23
22,2024.03.01,1,2024.03.02,LS,55C,E,022E,3.7247,15,21
22,2024.03.01,1,2024.03.02,LS,10C,A,022A,2.4653,15,11
22,2024.03.01,1,2024.03.02,LS,25C,B,022B,5.1474,15,12
21,2024.03.01,1,2024.03.02,LS,10C,A,021A,2.155,15,11
21,2024.03.01,1,2024.03.02,LS,25C,B,021B,3.8511,15,13
20,2024.03.01,1,2024.03.02,PE,10C,A,020A,6.3778,15,10
20,2024.03.01,1,2024.03.02,LS,25C,B,020B,4.4633,15,13
19,2024.03.01,1,2024.03.02,PE,10C,A,019A,3.7351,15,10
19,2024.03.01,1,2024.03.02,PE,25C,B,019B,5.0452,15,14
18,2024.03.01,1,2024.03.02,PE,10C,A,018A,4.3556,15,10
18,2024.03.01,1,2024.03.02,PE,25C,B,018B,2.1068,15,14
22,2024.03.01,1,2024.03.02,LS,35C,C,022C,2.7178,15,15
22,2024.03.01,1,2024.03.02,LS,45C,D,022D,3.3031,15,18
21,2024.03.01,1,2024.03.02,LS,35C,C,021C,2.7617,15,16
21,2024.03.01,1,2024.03.02,LS,45C,D,021D,4.6451,15,19
20,2024.03.01,1,2024.03.02,PE,35C,C,020C,4.782,15,16
20,2024.03.01,1,2024.03.02,PE,45C,D,020D,4.3406,15,19
19,2024.03.01,1,2024.03.02,PE,35C,C,019C,4.4726,15,17
19,2024.03.01,1,2024.03.02,PE,45C,D,019D,4.2699,15,20
18,2024.03.01,1,2024.03.02,PE,35C,C,018C,4.9307,15,17
18,2024.03.01,1,2024.03.02,PE,45C,D,018D,3.2896,15,20
19,2024.03.01,1,2024.03.02,PE,55C,E,019E,3.4445,16,33
21,2024.03.01,1,2024.03.02,LS,55C,E,021E,2.4899,16,32
20,2024.03.01,1,2024.03.02,PE,55C,E,020E,3.9306,16,33
18,2024.03.01,1,2024.03.02,PE,55C,E,018E,4.7293,16,34
22,2024.03.01,1,2024.03.02,LS,55C,E,022E,3.6492,16,32
22,2024.03.01,1,2024.03.02,LS,10C,A,022A,2.4629,16,21
22,2024.03.01,1,2024.03.02,LS,10C,A,022A,2.4624,16,53
22,2024.03.01,1,2024.03.02,LS,25C,B,022B,5.1408,16,23
22,2024.03.01,1,2024.03.02,LS,25C,B,022B,5.1377,16,56
21,2024.03.01,1,2024.03.02,LS,10C,A,021A,2.153,16,21
21,2024.03.01,1,2024.03.02,LS,10C,A,021A,2.1523,16,54
21,2024.03.01,1,2024.03.02,LS,25C,B,021B,3.8451,16,24
21,2024.03.01,1,2024.03.02,LS,25C,B,021B,3.8424,16,56
20,2024.03.01,1,2024.03.02,PE,10C,A,020A,6.37,16,22
20,2024.03.01,1,2024.03.02,PE,10C,A,020A,6.3692,16,54
20,2024.03.01,1,2024.03.02,LS,25C,B,020B,4.4554,16,24
