tag,collection_date,Round,measurement_date,sp,treatment,segment_location,segment,mass_w_parafilm,hour,minute
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0812,7,58
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0763,7,54
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,5.0994,7,50
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.5774,7,38
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1451,7,31
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4437,7,25
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.7294,7,39
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.262,7,32
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.2083,8,27
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3968,8,18
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.3142,8,6
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9813,8,29
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5796,8,15
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.7012,8,47
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2895,8,37
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2396,8,7
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.1874,8,47
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3879,8,37
23,2023.06.01,1,2023.06.02,MG,10C,A,023A,4.5244,9,25
23,2023.06.01,1,2023.06.02,MG,25C,B,023B,5.1481,9,33
23,2023.06.01,1,2023.06.02,MG,35C,C,023C,4.4111,9,40
23,2023.06.01,1,2023.06.02,MG,45C,D,023D,5.6326,9,56
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.8322,9,6
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3783,9,1
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.5211,9,56
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.569,9,36
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8812,9,27
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.154,9,44
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7876,9,38
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.094,10,3
7,2023.06.01,1,2023.06.02,TD,10C,A,007A,2.0346,10,26
1,2023.06.01,1,2023.06.02,CC,25C,B,001B,4.1211,10,8
1,2023.06.01,1,2023.06.02,CC,35C,C,001C,3.7697,10,15
7,2023.06.01,1,2023.06.02,TD,35C,C,007C,5.3222,10,44
7,2023.06.01,1,2023.06.02,TD,45C,D,007D,1.6851,10,55
1,2023.06.01,1,2023.06.02,CC,45C,D,001D,4.2118,10,21
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1794,10,39
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3869,10,43
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.807,10,38
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3678,10,42
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.2449,10,38
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0456,10,41
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.974,10,46
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5757,10,50
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6889,10,46
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2815,10,49
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2222,10,45
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0594,10,49
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,5.0487,10,34
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.1369,10,35
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3645,10,35
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.4716,10,36
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.5587,10,48
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8785,10,51
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.4999,10,35
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1185,10,47
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4276,10,50
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6865,10,39
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.2052,10,43
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.1374,10,37
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7743,10,44
10,2023.06.13,3,2023.06.14,TD,10C,A,010A,2.2802,10,55
10,2023.06.13,3,2023.06.14,TD,35C,C,010C,1.6533,10,59
25,2023.06.20,4,2023.06.21,LS,35C,C,025C,2.4928,10,55
20,2023.06.27,5,2023.06.28,PE,10C,A,020A,2.9956,10,52
20,2023.06.27,5,2023.06.28,PE,35C,C,020C,2.7927,10,46
20,2023.06.27,5,2023.06.28,PE,45C,D,020D,2.9943,10,58
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9187,11,9
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.893,11,18
7,2023.06.01,1,2023.06.02,TD,25C,B,007B,2.9077,11,0
16,2023.06.01,1,2023.06.02,PE,10C,A,016A,5.5802,11,26
16,2023.06.01,1,2023.06.02,PE,25C,B,016B,4.0115,11,33
24,2023.06.01,1,2023.06.02,LS,35C,C,024C,3.7723,11,27
24,2023.06.01,1,2023.06.02,LS,45C,D,024D,2.9483,11,36
16,2023.06.01,1,2023.06.02,PE,35C,C,016C,4.5767,11,41
16,2023.06.01,1,2023.06.02,PE,45C,D,016D,4.0633,11,47
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1671,11,8
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1475,11,37
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3839,11,12
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3809,11,41
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7966,11,8
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7802,11,36
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3628,11,11
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3585,11,40
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.2286,11,7
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.1827,11,36
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0362,11,11
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0276,11,39
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9723,11,16
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9708,11,45
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5734,11,19
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5713,11,48
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6858,11,15
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6832,11,44
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2794,11,19
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2772,11,48
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2186,11,14
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2154,11,44
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0563,11,18
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0532,11,47
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,5.0194,11,3
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,4.9932,11,32
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,4.9724,11,57
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.1122,11,4
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.0894,11,33
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.0709,11,57
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3506,11,4
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3372,11,33
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3267,11,58
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.424,11,6
