tag,collection_date,Round,measurement_date,sp,treatment,treatment_ID,segment,mass_w_parafilm,exclude,hour,minute
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.3861,0,12,35
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.3749,0,13,5
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.35,0,13,45
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.3331,0,14,16
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.3187,0,14,42
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.3038,0,15,13
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.2874,0,15,43
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.2731,0,16,9
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.2541,0,16,42
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.2364,0,17,15
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.216,0,17,52
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.1932,0,18,33
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.1798,0,18,58
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.094,1,10,3
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0923,0,12,57
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0919,0,13,38
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0914,0,14,11
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0907,0,14,30
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0899,0,15,3
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0894,0,15,38
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0889,0,16,4
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0879,1,16,27
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0878,0,16,59
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0874,0,17,29
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0867,0,18,14
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.086,0,18,48
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0858,0,19,22
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9187,0,11,9
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9141,0,12,59
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9087,0,13,40
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9075,0,14,13
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9064,0,14,32
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9025,0,15,6
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9017,0,15,40
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9,0,16,6
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.8981,0,16,29
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.8951,0,17,2
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.8938,0,17,31
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.8898,0,18,16
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.8868,0,18,52
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.8852,0,19,24
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.893,0,11,18
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.8824,0,12,55
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.8784,0,13,30
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.8739,0,14,6
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.8713,0,14,29
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.8679,0,15,2
