TreeID,sp,lichen,segment,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2
24,LS,0.55,024A,47,2.7452,1.3274,27.94,16,0.97,1.21,1.05,1.36,1.5,1.72,1.37,1.6,1.48,1.36,52.98,86.88,6.8,6.92,5.51,5.27,1.31,2.07,6.36,6.16,9.87,5.11,1.48,1.02
24,LS,0.75,024B,75,2.7463,1.2851,28.09,15,1.51,0.85,0.76,0.51,0.89,0.86,0.74,0.98,0.76,0.47,58.7,79.39,6.55,6.85,5.94,5.75,1.97,1.53,6.72,6.43,5.37,5.61,1.94,1.4
24,LS,0.7,024C,55,3.5248,1.6774,24.73,14,1.19,0.9,1.14,1.7,1.35,0.79,0.93,1.04,0.78,0.5,41.38,63.25,8.8,9.15,7.18,7.19,2.22,1.64,7.93,8.21,6.84,6.2,2.03,2.53
24,LS,0.5,024D,72,2.7359,1.3207,25.42,14,0.56,0.22,0.39,0.56,0.69,0.95,0.98,1.04,0.76,0.5,42.42,72.32,7.67,7.32,6.3,6.31,1.44,2.93,6.66,6.76,5.33,5.71,1.96,1.51
24,LS,0.3,024E,55,2.6241,1.2434,25.81,19,1.46,0.63,1.06,0.94,1.03,1.08,1.06,1.09,1.25,0.97,40.35,68.65,6.88,6.92,5.84,5.7,1.33,1.36,6.57,6.89,5.83,5.65,1.71,2.27
7,TD,0.25,007E,116,2.8814,1.3692,46.19,5,0.97,1.58,1.35,1.19,1.13,,,,,,30.68,46.19,9.65,9.7,7.94,7.59,1.31,0.59,8.68,8.85,7.22,7.27,1.35,1.08
7,TD,0,007C,117,5.1752,2.5046,62.54,13,1.31,1.4,1.52,1.63,2.03,1.6,1.94,1.81,1.08,1.66,43.83,62.54,10.49,11.08,8.63,8.13,0.82,1.27,9.61,10.27,8.94,8.38,0.98,0.77
7,TD,0.3,007D,67,1.6851,0.7877,57.24,4,1.72,1.17,0.67,0.35,,,,,,,39.63,57.24,6.1,6.3,5.1,5.08,0.89,1.05,5.84,5.53,4.61,4.55,1.29,1.34
7,TD,0.2,007A,67.8,1.9653,0.9614,55.82,13,1.6,1.89,1.49,1.34,1.23,1.24,1.2,1.73,1.28,1.4,40.53,55.82,7.13,7.26,6.02,6.09,0.71,0.59,6.63,6.97,5.55,5.12,0.94,0.84
7,TD,0.1,007B,74,2.7968,1.2904,,,,,,,,,,,,,47.95,63.32,7.58,7.9,6.33,6.3,0.66,0.59,7.13,7.68,5.75,5.93,0.87,0.71
16,PE,0.1,016E,61,7.9137,4.1644,,,,,,,,,,,,,67.3,90.48,10.05,10.12,8.19,7.98,1.23,1.41,9.91,10.02,8.02,8.09,1.62,1.2
16,PE,0,016C,53,4.417,2.1804,,,,,,,,,,,,,60.29,79.34,8.22,8.6,6.5,6.46,1.38,1.8,8,7.49,6.11,6.13,0.83,1.14
16,PE,0,016D,43.5,3.9327,1.8555,,,,,,,,,,,,,51.4,74.07,8.34,7.94,6.18,5.98,1.14,2.25,8.21,7.34,5.76,5.62,1.23,0.92
16,PE,0,016A,56.5,5.4315,2.544,,,,,,,,,,,,,53.74,72.93,9.49,9.26,7.03,7.42,1.6,1.01,9.78,9.24,6.86,6.89,0.73,0.55
16,PE,0,016B,36,3.8003,1.8183,,,,,,,,,,,,,44.07,66.21,7.85,8.28,5.96,6.42,1.49,1.32,8.82,7.67,1.69,6.01,1.34,0.76
1,CC,0.65,001D,83,3.8784,2.4566,,,,,,,,,,,,,49.99,93.55,7.21,7.5,5.85,5.94,1.34,1.08,7.14,6.87,5.76,6.1,0.66,0.8
1,CC,0.9,001E,102,4.1748,2.6878,,,,,,,,,,,,,42.45,71.77,9.26,9.17,7.57,7.19,1.47,1.18,7.95,8.08,6.49,6.77,0.8,0.78
1,CC,0.85,001B,77.5,3.9325,2.3894,,,,,,,,,,,,,44.18,63.24,9.88,10.15,8.58,8.72,0.89,0.83,8.61,8.65,7.29,7.49,0.97,0.9
1,CC,0.7,001C,99.8,3.2246,2.2377,,,,,,,,,,,,,39.28,61.59,8.06,8.48,7.19,6.78,1.69,1.63,7.92,8.14,6.6,6.59,1.08,0.79
1,CC,0.2,001A,87,2.7745,1.7358,,,,,,,,,,,,,31.28,57.85,8.28,8.04,7.1,6.53,1.05,1.1,7.47,7.82,6.42,6.64,0.83,1.34
23,MG,0,023E,46,3.2154,1.6425,17.15,8,1.04,0.95,1.17,1.45,1.33,1.18,1.16,1.7,1.27,1.44,40.34,53.88,9.24,9.27,7.91,7.92,4.14,3.57,8.96,9.66,7.37,7.64,3.7,3.41
23,MG,0,023A,53,4.2895,2.2162,25.61,11,1.24,1.72,1.2,1.42,1.12,0.83,0.99,1.32,1.07,1.54,47.84,69.71,9.71,9.64,8.16,8.14,3.1,2.83,8.73,9.66,7.44,8.03,2.98,2.77
23,MG,0.02,023B,46,4.8368,2.5406,34.01,24,1.55,1.47,1.14,0.99,1.14,1.31,1.08,1.12,1.55,0.92,51.43,71.92,10.26,11.11,9.26,8.45,2.24,1.36,9.4,9.12,7.82,7.42,2.42,2.41
23,MG,0,023C,48.5,4.2382,2.2441,31.11,22,1.5,1.23,1.11,1.48,0.88,1.42,1.08,1.3,1.43,1.29,60.41,81.35,8.39,8.77,7.33,6.83,2.15,1.89,8.06,8.34,6.74,7.06,1.35,1.61
23,MG,0,023D,49,5.4613,2.8034,30.4,20,1.39,1.31,1.88,1.36,1.22,1.4,1.67,1.14,1.57,1.12,57.18,79.48,10.31,10.18,8.68,8.35,1.31,1.23,9.96,9.86,8.32,8.35,1.11,1.59
21,LS,0,021C,43,2.5934,1.2314,48,29,1.31,0.88,1.25,1.49,1.45,1.41,1.07,1.32,1.04,1.7,32.64,48,8.24,9.02,6.95,7.59,1.67,1.1,8.54,8.49,7.22,7,1.12,1.72
21,LS,0,021D,46,2.9817,1.4641,26.12,29,1.14,1.91,1.74,1.38,1.56,1.46,1.22,1.05,1.26,0.94,47.29,58.16,7.45,8.22,6.09,6,1.05,1.03,7.28,7.14,6.2,6.01,1.19,1.32
21,LS,0,021E,62,4.3468,2.1874,27.98,14,1.64,1.39,1.42,2.02,1.16,1.25,1.38,1.75,1.21,1.2,47.83,63.81,9.62,9.4,8.14,8.01,0.9,1.25,9.46,8.99,8.42,7.79,2.12,1.43
21,LS,0,021A,55,4.6537,2.3176,41.11,24,1.3,1.29,1.59,1.13,1.65,1.55,0.94,0.89,0.6,1.43,65.51,80.97,9.12,8.77,7.33,7.25,3.24,2.09,8.2,8.44,6.66,6.83,2.26,2.07
21,LS,0,021B,61,3.3606,1.617,26.87,9,1.41,1.62,1.19,1.18,1.65,1.42,1.13,1.45,1.14,1.23,43.84,56.69,9.35,9.02,7.8,7.88,3.13,2.48,8.78,9.06,7.48,7.64,2.6,2.14
17,PE,0,017C,72,7.9342,3.7603,,,,,,,,,,,,,70.59,88.27,10.6,10.82,9.08,8.88,2.4,1.84,10.56,10.59,7.33,7.62,1.34,1.67
17,PE,0,017D,49,3.5668,1.7377,,,,,,,,,,,,,65.19,76.88,7.93,7.41,6.11,6.16,1.82,1.69,7.05,7.15,5.55,5.61,1.88,1.85
17,PE,0,017A,93,6.2997,3.0469,,,,,,,,,,,,,53.25,72.75,10.78,9.69,7.98,9.33,1.08,0.77,10.88,10.24,8.77,8.5,1.84,1.74
