TreeID,sp,lichen,segment,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2
22,LS,0,022A,69,2.2442,1.155,17.1,19,1.2,1.1,1.1,0.9,0.6,0.7,0.7,0.3,0.4,0.8,33.9,43.7,9.1,9.4,7.8,7.5,2.5,2.3,8.1,7.7,7,7.2,1.3,1.1
22,LS,0,022B,137,4.9398,2.6544,34.3,22,1.2,1.1,0.7,0.8,0.9,1.1,0.8,0.7,1.2,0.8,57.2,72.1,9.5,9.3,7.9,8.2,1.6,2.4,9.7,9.3,8,7.7,1.5,1.7
22,LS,0,022C,69,2.4615,2.1963,21.3,15,1,0.8,0.6,0.5,0.6,0.5,0.8,0.4,0.3,0.2,48.7,61.6,10.1,8.4,6.3,8.7,0.4,0.5,9.1,8.3,8.2,6.5,1,1.3
22,LS,0,022D,64,3.1038,1.6085,18.2,15,1,0.5,0.8,0.6,0.9,0.8,0.9,1.11,0.9,0.7,42.42,72.32,7.67,7.32,6.3,6.31,1.44,2.93,6.66,6.76,5.33,5.71,1.96,1.51
22,LS,0,022E,93,3.6133,1.9311,23.5,11,1.2,1.3,1.6,0.9,0.7,1,0.8,0.5,0.4,1.1,50.7,62,8.7,8.7,7.9,7.1,1.3,1.9,8.6,8.3,7,7.3,1.2,1.1
21,LS,0,021A,38,1.9568,0.9424,30.5,9,1.3,1.1,1.2,0.5,0.7,1.2,1,1.1,1.3,,30.5,41.9,9.4,7.8,7.5,8.6,1.7,2.6,7.7,7.2,6,5.9,1.6,2
21,LS,0,021B,82,3.6644,1.8958,22.9,11,0.9,1.1,1.5,0.4,0.8,0.9,1,1,11.4,0.8,46.9,58.4,9.3,8.9,7.3,7.9,2.1,1.7,9.4,9,7.8,7.4,1.5,2.7
21,LS,0,021C,32,2.5675,1.3097,21.9,13,0.4,0.9,1,0.7,0.6,0.5,0.6,0.8,1.3,0.7,58.4,71.4,7.1,7.2,5.4,5.6,1.3,0.8,6.4,6.6,5.3,5.1,0.6,0.8
21,LS,0,021D,56,4.4687,2.2419,21,8,1.1,1.2,0.8,0.6,1,0.9,1.3,1.2,,,42.1,55.9,12.4,10.9,8.8,10.7,0.6,1.1,9.9,10,8.6,8.4,1.1,1.3
21,LS,0,021E,45.5,2.3446,1.1669,30.5,4,0.8,0.6,0.7,0.7,,,,,,,30.5,48,8.2,9,6.6,6.8,1.2,1.3,8,8.3,6.9,6.8,1,1
20,PE,0,020A,71.5,6.2218,3.2262,,,,,,,,,,,,,78.1,99.6,9.3,9.7,7.7,7.4,1.1,1.3,8.9,8.5,7.3,7,0.8,1.2
20,PE,0.3,020B,52.8,4.2686,2.1493,,,,,,,,,,,,,58.5,75.7,8.7,8.7,7.3,6.9,0.9,1,7.6,7.9,6.4,6,1.4,1.4
20,PE,0.25,020C,63.5,4.6212,2.3177,,,,,,,,,,,,,50.7,65.3,10.4,9.1,8,8.6,0.8,0.9,9.5,9.1,7,8,0.7,0.6
20,PE,0,020D,50,4.1801,2.2192,,,,,,,,,,,,,56.5,72.1,8.4,8.4,6.7,6.8,1.2,0.9,8,8.3,7,6.5,1.2,0.9
20,PE,0.4,020E,56,3.9353,2.0838,,,,,,,,,,,,,73.4,92,7.3,6.9,5.3,5.7,0.8,0.5,7.2,6.9,5.2,5.3,0.6,0.5
19,PE,0.15,019A,57,3.5487,2.153,,,,,,,,,,,,,52.8,74.3,8.2,8.1,6.4,6.2,0.8,1.1,7.5,7.4,5.4,5.7,1,0.8
19,PE,0.05,019B,68,4.8538,2.4037,,,,,,,,,,,,,61.5,81.1,9.2,8.3,6.8,6.9,1.1,0.9,8.4,8.2,6.2,7,1,0.9
19,PE,0,019C,57,4.2958,2.2337,,,,,,,,,,,,,61.7,83.5,8.4,9.2,6.4,6.7,0.6,0.8,7.1,7.4,6.1,5.9,0.8,0.9
19,PE,0,019D,90,4.109,2.0896,,,,,,,,,,,,,51.4,71.4,8.5,8.5,6.9,6.7,0.9,1.2,8.5,8.1,6.1,6.9,1.4,1.1
19,PE,0,019E,55,3.4277,1.7447,,,,,,,,,,,,,50.8,70.1,7.1,7.4,5.7,5.4,0.5,0.7,7.4,7.5,6.2,6.4,0.6,0.3
18,PE,0,018A,43.5,4.1292,2.3462,,,,,,,,,,,,,49,68.6,9.4,8.9,7.9,6.8,0.8,0.6,7.8,8.4,5.7,5.4,0.7,0.7
18,PE,0,018B,19,1.901,1.0656,,,,,,,,,,,,,43.4,62,6.3,6,4.2,4.3,0.9,0.8,5.7,5.2,4,4.4,0.8,0.5
18,PE,0,018C,45.5,4.7356,2.3121,,,,,,,,,,,,,53.6,71.9,8.9,9.2,7.4,7.4,1.5,1.4,8.6,8.9,6.9,6.6,0.9,1
18,PE,0,018D,37,3.1539,1.9066,,,,,,,,,,,,,64.9,84,6.9,7.5,5.3,5.3,0.7,0.9,6.3,6.3,4.7,4.9,0.7,0.8
18,PE,0,018E,48,4.7058,2.5055,,,,,,,,,,,,,66.3,86.1,8.5,8.1,5.9,5.8,1.4,1.2,7.6,7.4,5.7,5.5,1.2,1.2
26,LS,0.2,026E,56,2.895,2.3507,25.2,10,1.1,0.6,1,1,0.5,0.9,0.9,0.5,0.9,0.8,40.7,79.8,8.2,8.6,6.9,6.7,0.8,0.5,7.9,7.7,6.5,6.7,0.8,0.5
26,LS,0.3,026C,55,2.2195,1.8488,46.9,10,1.2,0.8,0.6,0.5,0.9,0.6,1,1.1,0.7,1.3,46.9,61.9,8.1,8,6.7,7.1,0.6,0.9,7.8,8.2,6.1,7,0.6,0.9
17,PE,0,017D,46,3.3054,1.5369,,,,,,,,,,,,,47.4,60.7,8.2,7.7,6.9,6.5,1.1,1.1,8,7.7,7.9,8.1,1.7,1.3
17,PE,0.2,017E,63,4.7807,2.3643,,,,,,,,,,,,,63.6,80.6,8.3,8.7,7.1,7.2,1.7,1.6,8,7.9,6.3,6.6,1.3,1.5
4,LS,0,004E,70,1.9104,1.0238,43.3,10,0.7,0.6,0.6,0.7,0.5,1.2,1,0.6,1.1,0.7,43.3,54.1,6.6,6.6,5.8,5.9,1.3,1.5,6.4,6.7,5.4,5.6,1,1.2
17,PE,0.45,017C,67,4.3263,2.0165,,,,,,,,,,,,,59.7,77.4,8.5,8.4,6.8,6.7,2.5,2.3,7.9,8.1,6.6,6.2,1.5,1.6
4,LS,0.25,004C,57,3.1012,1.4875,25,10,0.7,0.8,1.3,0.8,1.3,1.2,0.7,0.6,0.8,0.8,52.7,66.7,8.9,8.3,6.7,6.6,2.7,2.1,7.3,7.3,5.8,6.3,1.5,1
26,LS,0.1,026A,62,3.7601,2.8168,32.4,13,1.3,1.1,0.9,0.9,1.5,1,1.1,0.4,0.7,1.5,60.3,73.4,9.3,9.1,7.8,7.5,0.6,0.5,8.5,9,7.3,6.4,0.9,0.7
17,PE,0,017B,45,2.7145,1.2872,,,,,,,,,,,,,48.4,62.8,7.4,7.5,5.8,5.9,1.7,1.8,6.9,6.4,4.9,5.8,1.1,0.8
17,PE,0.1,017A,52.9,5.3075,2.4332,,,,,,,,,,,,,58.4,71.2,9.1,9.3,8.1,7.8,1.3,1.7,8.8,8.6,7.2,6.9,1.1,1
4,LS,0.05,004A,108,5.1941,2.4618,31.9,10,0.8,1.3,0.4,1.5,0.6,0.7,0.7,0.5,1,0.9,55.9,72.2,9.4,9.3,7.8,8,1.6,1.6,9.4,9.3,7.8,8.1,1.7,1.6
24,LS,0.8,024E,58,2.1992,1.0267,53.7,15,1.2,0.8,0.6,0.7,1,0.6,1,1.1,0.7,0.8,53.7,66.3,6.3,6,4.4,4.8,1.5,1.9,6.4,6,4.5,5,1.6,1.7
16,PE,0.3,016E,52,4.9099,2.484,,,,,,,,,,,,,58,73.3,8.7,9.1,6.3,6.6,1,0.6,9,8.1,6.3,6.5,0.8,0.7
16,PE,0.1,016D,58,3.4805,1.7329,,,,,,,,,,,,,56.1,73.8,7.6,7.5,6.4,6,0.6,0.6,7.1,7.5,6.4,5.9,0.9,0.7
