TreeID,sp,lat_N,lon_W,lon,DBH1_cm,DBH2_cm,DBH_cm,height1_m,height2_m,Height_m
4,Liquidambar styraciflua,30.40915,91.10794,-91.10794,11.2,11.3,11.25,8.7,8.2,8.45
16,Pinus elliottii,30.40942,91.10748,-91.10748,23.6,24.2,23.9,13.1,12.5,12.8
17,Pinus elliottii,30.4099,91.10701,-91.10701,23.6,24,23.8,9.6,10.7,10.15
18,Pinus elliottii,30.41,91.1068,-91.1068,23.5,23.25,23.375,9.7,9.8,9.75
19,Pinus elliottii,30.40993,91.10694,-91.10694,15.6,15.4,15.5,7.1,7.7,7.4
20,Pinus elliottii,30.40994,91.10686,-91.10686,16.55,16.7,16.625,7.7,8.2,7.95
21,Liquidambar styraciflua,30.40994,91.10693,-91.10693,9.5,9.8,9.65,11.3,11.3,11.3
22,Liquidambar styraciflua,30.40968,91.10726,-91.10726,5,5.4,5.2,5.1,4.9,5
24,Liquidambar styraciflua,30.40938,91.10767,-91.10767,7.8,8,7.9,7.5,7.2,7.35
25,Liquidambar styraciflua,30.40988,91.10724,-91.10724,,,,,,
26,Liquidambar styraciflua,30.40988,91.10724,-91.10724,26.7,27,26.85,10.6,13,11.8
