TreeID,sp,lat_N,lon_W,lon,DBH_cm,height1_m,height2_m,height3_m,Height_m,Crown_Height_m
1,Carpinus caroliniana,30.40914,91.10709,-91.10709,25.1,7.8,8,8,7.933333333,4.7
2,Carpinus caroliniana,30.40893,91.10728,-91.10728,25.5,7.3,7.3,7.2,7.266666667,4.6
3,Carpinus caroliniana,30.40896,91.10712,-91.10712,16.6,8.2,8.5,8.1,8.266666667,5.9
4,Liquidambar styraciflua,30.40915,91.10794,-91.10794,15.5,13.6,11.1,10.5,11.73333333,7.2
5,Magnolia grandiflora,30.4101,91.10706,-91.10706,18.8,10.6,9.3,10.1,10,6
6,Magnolia grandiflora,30.4103,91.10693,-91.10693,24.9,9,8.6,8.2,8.6,6.5
7,Taxodium distichum,30.41034,91.10716,-91.10716,27.8,8,8.6,8.9,8.5,6.8
8,Magnolia grandiflora,30.41044,91.10732,-91.10732,38.8,11.8,13.2,10.8,11.93333333,11.93
9,Taxodium distichum,30.41048,91.10734,-91.10734,16.9,10.3,9.5,10,9.933333333,9.4
10,Taxodium distichum,30.41048,91.10732,-91.10732,15,9.9,9.9,10.3,10.03333333,9.4
11,Taxodium distichum,30.41057,91.10746,-91.10746,13.3,7.5,7.4,7.5,7.466666667,7
12,Taxodium distichum,30.41062,91.10745,-91.10745,14.4,7.1,7.2,7.5,7.266666667,7
13,Magnolia grandiflora,30.41078,91.10741,-91.10741,13.4,7.1,6.9,6.6,6.866666667,6.4
14,Carpinus caroliniana,30.41026,91.10693,-91.10693,27,6.1,7.5,6.6,6.733333333,5.1
15,Carpinus caroliniana,30.40918,91.1075,-91.1075,21.1,8.2,10.2,9.3,9.233333333,7.6
16,Pinus elliottii,30.40942,91.10748,-91.10748,27.3,13,13.4,12.4,12.93333333,11.1
17,Pinus elliottii,30.4099,91.10701,-91.10701,27.1,10,11,10.9,10.63333333,9.8
18,Pinus elliottii,30.41,91.1068,-91.1068,26.3,11.8,11.8,11.5,11.7,9.5
19,Pinus elliottii,30.40993,91.10694,-91.10694,19.2,8.4,8.3,8.2,8.3,7.9
20,Pinus elliottii,30.40994,91.10686,-91.10686,16.6,7.9,8,8.5,8.133333333,5.9
21,Liquidambar styraciflua,30.40994,91.10693,-91.10693,12.9,7.3,7.8,6.6,7.233333333,5.8
22,Liquidambar styraciflua,30.40968,91.10726,-91.10726,8.7,5.5,5.6,6.1,5.733333333,4.7
23,Magnolia grandiflora,30.40948,91.10738,-91.10738,31.2,11,11.7,11.3,11.33333333,8.8
24,Liquidambar styraciflua,30.40938,91.10767,-91.10767,11.5,6.8,8.5,7.9,7.733333333,6.6
25,Liquidambar styraciflua,30.40988,91.10724,-91.10724,11.6,5.9,7.2,6.3,6.466666667,4.2
